Text,Category Id
Costa Coffee,3
Caffe Nero,3
Pret,3
Greggs,3
Clinic,4
GP visit,4
Blood test,4
X-ray,4
Physio,4
Chiropractor,4
Mental health,4
Dental checkup,4
Eye test,4
Contact lenses,4
Vitamins,4
Supplements,4
First aid,4
Ambulance,4
Hospital bill,4
Medical equipment,4
Skincare,4
Haircut,4
Salon,4
Spa,4
Kindle,5
Audible,5
Newspaper,5
Online learning,5
Skillshare,5
LinkedIn Learning,5
Codecademy,5
Duolingo,5
Photography course,5
Music lesson,5
Language class,5
Certification exam,5
Research paper,5
Scientific journal,5
Art class,5
Craft supplies,5
Sewing,5
DIY materials,5
Nike,6
Adidas,6
Decathlon,6
Sports Direct,6
Primark,6
Uniqlo,6
Next,6
M&S,6
John Lewis,6
Currys,6
Apple Store,6
Best Buy,6
Amazon,6
eBay,6
Etsy,6
Home Depot,6
B&Q,6
Bedding store,6
Mattress,6
Lamp,6
Desk,6
Office supplies,6
Cash machine,7
Withdrawal at bank,7
Over the counter,7
Cash advance,7
Debit card,7
Credit card payment,7
Contactless,7
Apple Pay,7
Google Pay,7
Venmo,7
Revolut,7
Wise transfer,7
Cash deposit,7
Check,7
Money order,7
Life insurance,8
Car insurance,8
Home insurance,8
Loan interest,8
Credit card fee,8
Overdraft fee,8
Account maintenance,8
Brokerage,8
Stock purchase,8
Mutual fund,8
ETF,8
Retirement contribution,8
401k,8
ISA,8
Tax refund,8
VAT,8
Legal fee,8
Accounting,8
Consultant,8
Subscription unknown,9
Uncategorized,9
Payment pending,9
Adjustment,9
Reversal,9
Chargeback,9
Gift,9
Tip,9
Cash gift,9
Repayment,9
Split bill,9
Reimbursement,9
i paid for netflix,3
spent on spotify,3
subscription hbo,3
rent this month,1
electric bill,1
water and gas,1
bought groceries lidl,2
shopping at netto,2
fuel at shell,0
uber to airport,0
train to work,0
doctor checkup,4
gym today,4
pharmacy medicine,4
bought books,5
online course,5
new laptop,6
clothes h&m,6
atm withdrawal,7
insurance payment,8
misc,9
Diesel,0
Unleaded,0
LPG,0
EV charge,0
Parking app,0
Bus ticket,0
Tram,0
Subway fare,0
Bike rental,0
Car rental,0
Rent payment January,1
Rent payment February,1
Housing benefit,1
Lease,1
Maintenance fee,1
Strata,1
Condominium,1
Lidl Germany,2
Edeka,2
Rewe,2
Penny,2
Kaufland,2
Albert Heijn,2
Jumbo,2
Carrefour,2
Auchan,2
Dia,2
Mercadona,2
Dunnes,2
SuperValu,2
Grocery delivery,2
HelloFresh,2
Gousto,2
Meal kit,2
i spent on groceries,2
weekly shop,2
food for week,2
lunch prep,2
Cinema Odeon,3
Cineworld,3
AMC,3
Regal,3
IMAX,3
Bowling alley,3
Escape room,3
Laser tag,3
Mini golf,3
Arcade,3
Zoo visit,3
Aquarium,3
Sports event,3
Festival,3
Theatre show,3
Opera,3
Ballet,3
Comedy club,3
Wine tasting,3
Brewery,3
Cocktail bar,3
Rooftop bar,3
Hotel bar,3
Room service,3
Hotel restaurant,3
Breakfast buffet,3
Allergy medicine,4
Pain relief,4
Cold medicine,4
Antibiotics,4
Prescription refill,4
Medical scan,4
Ultrasound,4
MRI,4
Vaccination,4
Flu shot,4
COVID test,4
Thermometer,4
Blood pressure monitor,4
Fitness tracker,4
Running shoes,4
Yoga mat,4
Protein powder,4
Sports drink,4
Personal trainer,4
CrossFit,4
Boxing class,4
Swimming lessons,4
Martial arts,4
Piano lesson,5
Guitar lesson,5
Drawing class,5
Painting,5
Pottery,5
Woodworking,5
Gardening supplies,5
Plant nursery,5
Chess club,5
Board game,5
Video game,5
Game pass,5
Nintendo,5
PlayStation Plus,5
Xbox Live,5
Textbook,5
Stationery,5
Printer,5
Laptop bag,6
Phone case,6
Headphones,6
Charger,6
Cable,6
Adapter,6
Monitor,6
Keyboard,6
Mouse,6
Webcam,6
Router,6
Smart home,6
Watch,6
Jewellery,6
Sunglasses,6
Handbag,6
Backpack,6
Suit,6
Formal wear,6
Baby clothes,6
Kids shoes,6
School supplies,6
Branch withdrawal,7
Counter withdrawal,7
Balance enquiry,7
Mini statement,7
Cheque book,7
Replacement card,7
PIN change,7
International transfer,8
Wire transfer,8
SWIFT,8
Currency exchange,8
Forex,8
Crypto,8
Bitcoin,8
Dividend,8
Interest income,8
Rental income,8
Side hustle,8
Freelance,8
Bonus,8
Salary,8
Stipend,8
Grant,8
Scholarship,8
Child benefit,8
Unemployment benefit,8
Pension payout,8
Annuity,8
General expense,9
Unidentified,9
Correction,9
Fee waiver,9
Promo credit,9
Reward points,9
Cashback,9
Discount,9
Voucher,9
Vendor refund,9
