Date,Category,Amount,Payment_Mode,Month
9/20/2024,Utilities,10285.0,Cash,November
9/21/2024,Health,506.0,Card,August
9/24/2024,Health,12318.0,Card,August
9/24/2024,Utilities,5804.0,Online,November
9/25/2024,Food,3278.0,Card,May
9/26/2024,Food,3120.0,Card,November
9/27/2024,Food,9255.0,Cash,March
9/27/2024,Health,5168.0,Card,April
9/28/2024,Rent,4685.0,Online,February
9/29/2024,Transport,5352.0,Online,October
9/30/2024,Health,4976.0,Cash,February
10/3/2024,Rent,3489.0,Card,July
10/3/2024,Utilities,1366.0,Online,January
10/3/2024,Shopping,11693.0,Online,March
10/3/2024,Shopping,2975.0,Card,February
10/5/2024,Rent,10793.0,Card,December
10/6/2024,Shopping,6159.0,Cash,May
10/6/2024,Rent,6178.0,Online,October
10/9/2024,Utilities,11901.0,Cash,February
10/9/2024,Entertainment,11248.0,Cash,December
10/10/2024,Transport,9041.0,Card,September
10/11/2024,Utilities,9210.0,Cash,December
10/11/2024,Shopping,3330.0,Online,December
10/14/2024,Utilities,11271.0,Online,March
10/15/2024,Transport,656.0,Online,May
10/15/2024,Rent,9306.0,Online,August
10/20/2024,Rent,1059.0,Card,October
10/22/2024,Shopping,417.0,Online,August
10/24/2024,Entertainment,13803.0,Cash,June
10/27/2024,Entertainment,3197.0,Card,September
10/28/2024,Transport,9194.0,Card,May
10/28/2024,Transport,11973.0,Cash,March
10/30/2024,Shopping,8883.0,Cash,February
10/31/2024,Entertainment,1225.0,Card,April
10/31/2024,Food,7162.0,Card,March
11/4/2024,Food,14999.0,Card,April
11/9/2024,Rent,4655.0,Card,January
11/9/2024,Health,924.0,Cash,April
11/11/2024,Transport,10322.0,Online,December
11/11/2024,Shopping,1835.0,Card,January
11/13/2024,Food,2944.0,Card,August
11/16/2024,Rent,1625.0,Online,August
11/18/2024,Rent,6775.0,Online,March
11/18/2024,Food,5731.0,Cash,July
11/20/2024,Transport,402.0,Online,May
11/21/2024,Food,1975.0,Cash,August
11/22/2024,Transport,9535.0,Cash,April
11/25/2024,Transport,10206.0,Card,February
11/26/2024,Entertainment,9755.0,Card,December
11/26/2024,Entertainment,8320.0,Online,August
12/1/2024,Shopping,10155.0,Card,November
12/3/2024,Entertainment,2025.0,Online,February
12/3/2024,Transport,1489.0,Online,February
12/3/2024,Transport,13734.0,Online,April
12/4/2024,Utilities,5595.0,Online,October
12/5/2024,Health,1390.0,Card,May
12/5/2024,Entertainment,2528.0,Online,May
12/6/2024,Entertainment,10325.0,Online,March
12/7/2024,Transport,11122.0,Card,November
12/7/2024,Rent,6384.0,Cash,July
12/7/2024,Rent,12688.0,Online,October
12/9/2024,Entertainment,462.0,Card,May
12/9/2024,Entertainment,5790.0,Online,February
12/11/2024,Shopping,2533.0,Online,May
12/11/2024,Utilities,2033.0,Online,July
12/11/2024,Shopping,9868.0,Online,February
12/11/2024,Rent,2025.0,Card,July
12/13/2024,Health,7913.0,Cash,January
12/13/2024,Entertainment,730.0,Cash,September
12/13/2024,Rent,3710.0,Online,November
12/14/2024,Health,8812.0,Card,July
12/14/2024,Utilities,13618.0,Online,July
12/15/2024,Transport,6756.0,Online,January
12/19/2024,Shopping,3914.0,Card,January
12/22/2024,Entertainment,7619.0,Online,December
12/23/2024,Transport,807.0,Cash,October
12/24/2024,Utilities,7366.0,Cash,November
12/26/2024,Shopping,9876.0,Cash,July
12/30/2024,Utilities,14994.0,Card,May
12/30/2024,Food,13358.0,Card,June
1/1/2025,Food,13339.0,Cash,September
1/1/2025,Shopping,9006.0,Cash,March
1/3/2025,Transport,6571.0,Online,April
1/3/2025,Transport,1087.0,Online,September
1/4/2025,Utilities,6152.0,Cash,October
1/7/2025,Health,5201.0,Online,June
1/7/2025,Rent,11707.0,Online,August
1/7/2025,Shopping,5151.0,Cash,April
1/7/2025,Utilities,11263.0,Cash,January
1/8/2025,Transport,3193.0,Cash,October
1/9/2025,Entertainment,614.0,Cash,January
1/10/2025,Transport,2290.0,Online,November
1/11/2025,Food,14394.0,Cash,May
1/13/2025,Shopping,9117.0,Card,August
1/14/2025,Rent,8225.0,Cash,June
1/14/2025,Transport,1412.0,Cash,December
1/18/2025,Utilities,5343.0,Online,January
1/19/2025,Transport,2355.0,Cash,January
1/19/2025,Utilities,12957.0,Cash,November
1/20/2025,Health,9176.0,Cash,April
1/20/2025,Utilities,14364.0,Online,November
1/20/2025,Utilities,4832.0,Cash,April
1/21/2025,Health,13798.0,Cash,September
1/21/2025,Entertainment,1349.0,Online,September
1/22/2025,Health,9710.0,Online,September
1/22/2025,Rent,7387.0,Online,January
1/24/2025,Health,11911.0,Cash,June
1/24/2025,Transport,9275.0,Cash,June
1/26/2025,Rent,2530.0,Card,November
1/26/2025,Rent,4895.0,Online,April
1/27/2025,Shopping,1068.0,Card,July
1/27/2025,Rent,14456.0,Card,November
1/27/2025,Utilities,12973.0,Cash,May
1/27/2025,Rent,5147.0,Cash,March
1/28/2025,Shopping,12692.0,Cash,August
1/30/2025,Health,10703.0,Cash,December
1/30/2025,Rent,240.0,Online,March
1/31/2025,Shopping,8334.0,Online,June
1/31/2025,Utilities,588.0,Cash,June
2/1/2025,Shopping,10806.0,Card,June
2/1/2025,Rent,14059.0,Card,October
2/1/2025,Shopping,14271.0,Cash,December
2/3/2025,Entertainment,1746.0,Card,January
2/4/2025,Rent,14822.0,Card,June
2/4/2025,Transport,13495.0,Cash,January
2/5/2025,Entertainment,11894.0,Online,September
2/5/2025,Rent,5395.0,Card,December
2/6/2025,Utilities,216.0,Online,January
2/6/2025,Utilities,3710.0,Cash,January
2/7/2025,Shopping,11140.0,Card,July
2/10/2025,Shopping,11621.0,Card,June
2/10/2025,Transport,7591.0,Cash,May
2/11/2025,Rent,6804.0,Cash,September
2/11/2025,Health,625.0,Card,April
2/12/2025,Rent,7722.0,Cash,October
2/14/2025,Transport,3442.0,Card,May
2/16/2025,Utilities,4906.0,Card,January
2/17/2025,Shopping,7927.0,Cash,April
2/18/2025,Utilities,9482.0,Cash,June
2/18/2025,Entertainment,4297.0,Cash,March
2/18/2025,Rent,10717.0,Online,November
2/19/2025,Health,8811.0,Online,May
2/20/2025,Shopping,5308.0,Card,January
2/21/2025,Food,1467.0,Card,June
2/22/2025,Shopping,14568.0,Card,February
2/23/2025,Health,7114.0,Card,March
2/23/2025,Transport,9208.0,Cash,November
2/25/2025,Transport,5391.0,Cash,July
2/25/2025,Transport,189.0,Card,September
3/2/2025,Entertainment,8233.0,Card,August
3/3/2025,Entertainment,9279.0,Cash,September
3/7/2025,Food,7275.0,Card,November
3/10/2025,Utilities,7451.0,Online,August
3/11/2025,Shopping,8156.0,Online,August
3/13/2025,Shopping,10426.0,Online,December
3/14/2025,Health,14097.0,Online,June
3/16/2025,Transport,2449.0,Cash,March
3/17/2025,Health,6546.0,Cash,November
3/17/2025,Entertainment,12341.0,Online,October
3/19/2025,Health,729.0,Card,June
3/20/2025,Shopping,9952.0,Card,October
3/20/2025,Transport,13278.0,Online,October
3/22/2025,Shopping,1339.0,Online,July
3/25/2025,Food,307.0,Cash,December
3/26/2025,Entertainment,6907.0,Online,August
3/28/2025,Food,12096.0,Online,April
3/28/2025,Entertainment,13747.0,Card,October
3/28/2025,Transport,14527.0,Card,December
3/30/2025,Entertainment,10974.0,Cash,August
3/30/2025,Rent,9306.0,Cash,July
3/31/2025,Food,9754.0,Card,May
3/31/2025,Entertainment,12980.0,Cash,December
3/31/2025,Health,138.0,Cash,December
4/1/2025,Health,11860.0,Card,August
4/3/2025,Food,7586.0,Card,October
4/4/2025,Shopping,11677.0,Online,October
4/4/2025,Shopping,12613.0,Cash,August
4/5/2025,Entertainment,671.0,Cash,November
4/5/2025,Entertainment,3974.0,Card,July
4/6/2025,Transport,5333.0,Online,January
4/6/2025,Entertainment,7109.0,Card,February
4/8/2025,Transport,1863.0,Cash,July
4/11/2025,Shopping,4905.0,Card,October
4/13/2025,Transport,13745.0,Online,October
4/14/2025,Health,994.0,Online,June
4/15/2025,Transport,14396.0,Card,November
4/15/2025,Shopping,7943.0,Card,July
4/16/2025,Shopping,3878.0,Card,April
4/16/2025,Health,13581.0,Online,April
4/17/2025,Food,5520.0,Cash,March
4/17/2025,Transport,8719.0,Cash,October
4/17/2025,Utilities,14514.0,Online,May
4/18/2025,Rent,1374.0,Cash,September
4/18/2025,Health,4570.0,Cash,October
4/19/2025,Transport,14065.0,Card,February
4/19/2025,Shopping,14299.0,Card,September
4/20/2025,Entertainment,3140.0,Card,July
4/20/2025,Food,7314.0,Card,October
4/21/2025,Health,5470.0,Card,March
4/21/2025,Rent,3691.0,Card,April
4/21/2025,Entertainment,3020.0,Online,July
4/25/2025,Transport,2027.0,Cash,December
4/28/2025,Entertainment,6112.0,Card,January
4/29/2025,Entertainment,7412.0,Card,November
4/29/2025,Shopping,1365.0,Online,December
5/2/2025,Food,13572.0,Card,April
5/3/2025,Entertainment,12152.0,Card,March
5/4/2025,Rent,5250.0,Cash,November
5/4/2025,Food,9561.0,Cash,May
5/6/2025,Food,13995.0,Card,February
5/6/2025,Food,13450.0,Online,February
5/7/2025,Rent,11439.0,Card,November
5/7/2025,Shopping,9577.0,Online,February
5/10/2025,Shopping,13773.0,Card,May
5/11/2025,Rent,14375.0,Online,January
5/11/2025,Utilities,452.0,Online,May
5/11/2025,Shopping,4216.0,Online,June
5/13/2025,Food,1767.0,Card,November
5/13/2025,Food,3838.0,Cash,June
5/14/2025,Food,7385.0,Cash,October
5/15/2025,Health,3826.0,Cash,December
5/16/2025,Entertainment,5349.0,Cash,July
5/17/2025,Food,2503.0,Cash,February
5/17/2025,Rent,1107.0,Cash,April
5/18/2025,Health,12498.0,Online,August
5/19/2025,Entertainment,11795.0,Cash,June
5/19/2025,Transport,9141.0,Card,April
5/20/2025,Transport,11396.0,Online,May
5/20/2025,Entertainment,474.0,Cash,December
5/20/2025,Shopping,14215.0,Cash,January
5/22/2025,Rent,10758.0,Cash,May
5/23/2025,Entertainment,1318.0,Card,June
5/24/2025,Health,4279.0,Online,July
5/24/2025,Food,9178.0,Card,October
5/25/2025,Rent,683.0,Card,August
5/25/2025,Food,6969.0,Cash,February
5/25/2025,Transport,1896.0,Card,February
5/25/2025,Rent,626.0,Card,September
5/26/2025,Shopping,12768.0,Online,June
5/26/2025,Utilities,10281.0,Card,December
5/27/2025,Shopping,6864.0,Cash,May
5/27/2025,Food,11136.0,Cash,August
5/30/2025,Entertainment,10627.0,Online,March
5/30/2025,Entertainment,12244.0,Card,April
5/31/2025,Rent,1898.0,Cash,December
6/1/2025,Shopping,14125.0,Card,December
6/2/2025,Rent,7202.0,Card,May
6/4/2025,Entertainment,7024.0,Cash,June
6/5/2025,Health,9810.0,Card,January
6/8/2025,Shopping,13861.0,Online,December
6/8/2025,Utilities,6577.0,Cash,February
6/8/2025,Entertainment,8173.0,Cash,December
6/9/2025,Entertainment,10893.0,Online,July
6/14/2025,Transport,1416.0,Card,August
6/15/2025,Rent,13087.0,Card,November
6/21/2025,Health,12865.0,Cash,September
6/23/2025,Food,8358.0,Card,March
6/24/2025,Rent,9209.0,Cash,March
6/28/2025,Transport,3391.0,Online,February
6/30/2025,Entertainment,406.0,Cash,January
6/30/2025,Rent,12175.0,Cash,September
6/30/2025,Shopping,9982.0,Card,May
7/1/2025,Health,7110.0,Card,November
7/4/2025,Shopping,12725.0,Online,September
7/4/2025,Shopping,9656.0,Cash,November
7/7/2025,Shopping,12194.0,Cash,June
7/9/2025,Transport,5143.0,Card,March
7/9/2025,Transport,3928.0,Cash,December
7/9/2025,Entertainment,9205.0,Online,September
7/9/2025,Entertainment,6752.0,Card,March
7/10/2025,Rent,4899.0,Cash,December
7/11/2025,Food,761.0,Cash,September
7/13/2025,Health,5278.0,Cash,June
7/14/2025,Shopping,6502.0,Card,March
7/15/2025,Rent,12427.0,Card,March
7/16/2025,Shopping,9888.0,Card,September
7/16/2025,Shopping,7279.0,Online,May
7/17/2025,Shopping,13256.0,Cash,January
7/17/2025,Utilities,13607.0,Card,March
7/17/2025,Rent,6642.0,Cash,September
7/18/2025,Entertainment,1063.0,Online,February
7/18/2025,Shopping,1480.0,Card,October
7/19/2025,Food,12423.0,Card,May
7/19/2025,Health,7391.0,Card,October
7/19/2025,Entertainment,9084.0,Card,July
7/19/2025,Transport,6663.0,Cash,May
7/20/2025,Health,7757.0,Card,July
7/22/2025,Shopping,11927.0,Online,May
7/23/2025,Transport,12315.0,Online,April
7/23/2025,Food,9565.0,Card,June
7/25/2025,Utilities,6831.0,Card,December
7/25/2025,Shopping,5997.0,Cash,April
7/27/2025,Rent,786.0,Card,February
7/27/2025,Food,8880.0,Cash,November
7/28/2025,Entertainment,9537.0,Online,March
7/28/2025,Health,4456.0,Card,June
7/30/2025,Shopping,7948.0,Online,January
7/31/2025,Transport,2453.0,Card,January
8/2/2025,Transport,4011.0,Online,August
8/3/2025,Entertainment,5470.0,Card,December
8/9/2025,Shopping,1017.0,Cash,May
8/10/2025,Transport,4545.0,Cash,October
8/15/2025,Rent,2569.0,Cash,January
8/16/2025,Health,14888.0,Online,April
8/18/2025,Food,11314.0,Cash,February
8/23/2025,Utilities,7080.0,Card,November
8/23/2025,Rent,992.0,Cash,September
8/24/2025,Health,3812.0,Card,July
8/26/2025,Shopping,2303.0,Cash,January
8/27/2025,Transport,9142.0,Online,February
8/29/2025,Utilities,9639.0,Card,April
8/29/2025,Rent,12180.0,Card,May
8/30/2025,Rent,5758.0,Card,December
8/30/2025,Transport,7805.0,Cash,January
8/31/2025,Transport,3738.0,Cash,March
8/31/2025,Utilities,14890.0,Cash,February
9/1/2025,Health,12191.0,Cash,September
9/2/2025,Rent,878.0,Online,February
9/3/2025,Utilities,10837.0,Cash,March
9/3/2025,Rent,8420.0,Card,May
9/4/2025,Food,369.0,Card,April
9/4/2025,Entertainment,674.0,Card,December
9/4/2025,Transport,2164.0,Card,June
9/4/2025,Health,7524.0,Card,February
9/6/2025,Food,12360.0,Cash,December
9/8/2025,Shopping,9113.0,Card,February
9/11/2025,Food,11183.0,Card,October
9/11/2025,Utilities,5446.0,Online,October
9/15/2025,Health,10740.0,Cash,October
9/16/2025,Health,12957.0,Cash,January
9/16/2025,Rent,3274.0,Cash,March
9/17/2025,Health,7332.0,Cash,March
9/17/2025,Utilities,9733.0,Cash,February
9/19/2025,Shopping,7933.0,Card,May
9/19/2025,Food,13125.0,Cash,December
9/24/2025,Rent,9745.0,Online,June
9/25/2025,Rent,205.0,Cash,April
9/25/2025,Transport,381.0,Card,November
9/25/2025,Utilities,9767.0,Card,March
9/27/2025,Health,2834.0,Online,November
9/29/2025,Transport,7100.0,Card,February
9/29/2025,Transport,10824.0,Card,August
9/29/2025,Utilities,1707.0,Online,January
9/30/2025,Entertainment,1494.0,Online,September
10/1/2025,Utilities,307.0,Cash,September
10/1/2025,Health,9198.0,Cash,December
10/1/2025,Transport,13731.0,Cash,July
10/2/2025,Health,9608.0,Card,March
10/2/2025,Food,12994.0,Online,June
10/3/2025,Rent,10147.0,Online,March
10/4/2025,Food,13087.0,Online,December
10/7/2025,Food,4911.0,Card,June
10/8/2025,Transport,8294.0,Card,February
10/9/2025,Rent,10000.0,Online,August
10/9/2025,Rent,10008.0,Online,February
10/9/2025,Health,11115.0,Cash,June
10/10/2025,Entertainment,9178.0,Online,January
10/13/2025,Food,13497.0,Card,August
10/14/2025,Transport,3783.0,Cash,October
10/14/2025,Food,8205.0,Online,August
10/15/2025,Food,113.0,Card,April
10/16/2025,Rent,1140.0,Card,July
10/17/2025,Transport,5442.0,Card,May
10/17/2025,Food,12740.0,Cash,November
10/17/2025,Food,3292.0,Cash,June
10/18/2025,Shopping,1400.0,Card,April
10/18/2025,Shopping,3668.0,Card,June
10/19/2025,Food,2237.0,Online,September
10/20/2025,Entertainment,10644.0,Online,May
10/20/2025,Entertainment,6357.0,Cash,February
10/20/2025,Shopping,4890.0,Card,March
10/20/2025,Utilities,14431.0,Card,August
10/20/2025,Shopping,11643.0,Online,September
10/21/2025,Transport,5110.0,Online,January
10/21/2025,Shopping,9308.0,Card,January
10/23/2025,Transport,7978.0,Cash,January
10/24/2025,Health,3089.0,Cash,June
