Date,Transaction Description,Category,Amount
2020-05-31,Ahead from quickly identify.,Health & Fitness,41516.0
2020-05-31,Try wonder move trade.,Travel,101576.0
2020-06-01,Base investment.,Food & Drink,19367.0
2020-06-02,Anyone here deep.,Travel,9773.0
2020-06-05,Seven here sell story.,Utilities,127786.0
2020-06-06,Like see.,Salary,110784.0
2020-06-07,Difference attention whatever american.,Food & Drink,23263.0
2020-06-08,Current after charge.,Utilities,109572.0
2020-06-09,Prove nor design record.,Utilities,86528.0
2020-06-09,Paper white responsibility.,Other,8260.0
2020-06-10,Blue agent find.,Entertainment,136731.0
2020-06-10,Walk cup option store.,Health & Fitness,156243.0
2020-06-11,Recent feeling.,Shopping,194794.0
2020-06-11,Site girl into have media.,Entertainment,173057.0
2020-06-12,Support state.,Utilities,176402.0
2020-06-14,Whether player stock religious.,Other,38720.0
2020-06-15,Safe whole establish.,Entertainment,54094.0
2020-06-18,Let stay or focus.,Rent,77126.0
2020-06-18,Everything late.,Other,23220.0
2020-06-18,Particular her agreement surface consider.,Other,33640.0
2020-06-19,Something future they red.,Entertainment,45362.0
2020-06-19,Act way beat result major.,Shopping,66324.0
2020-06-21,Position make society behavior.,Travel,70878.0
2020-06-21,Reality fill ok list.,Health & Fitness,187908.0
2020-06-22,International second former reflect.,Other,19620.0
2020-06-22,Edge building court.,Travel,8613.0
2020-06-24,Week real course school everybody.,Health & Fitness,14598.0
2020-06-30,Executive beyond create dinner conference.,Rent,77654.0
2020-06-30,Call animal approach factor want.,Travel,9833.0
2020-07-02,Their off.,Entertainment,7348.0
2020-07-03,Key continue anything wait.,Other,30710.0
2020-07-04,State husband.,Rent,144231.0
2020-07-05,Picture approach chance none fight.,Travel,133712.0
2020-07-06,Newspaper indicate other.,Travel,111328.0
2020-07-06,Herself training father open investment.,Other,19250.0
2020-07-08,Art whether between several personal.,Travel,81809.0
2020-07-11,Church community.,Travel,58096.0
2020-07-12,Able late order.,Health & Fitness,93533.0
2020-07-12,Discuss religious.,Entertainment,102724.0
2020-07-13,Reach under.,Utilities,132111.0
2020-07-17,Boy different chance enter.,Health & Fitness,19584.0
2020-07-20,Arrive society.,Entertainment,134886.0
2020-07-21,Keep light fight.,Entertainment,30323.0
2020-07-21,Matter management ball.,Other,10960.0
2020-07-22,Same page ago director.,Entertainment,143951.0
2020-07-22,Week yourself public especially american.,Shopping,49553.0
2020-07-22,Million kind everything young.,Food & Drink,178639.0
2020-07-23,Why like impact fly.,Rent,155906.0
2020-07-24,Form really explain.,Salary,10993.0
2020-07-28,Already because education break significant.,Rent,91836.0
2020-07-28,Price my.,Health & Fitness,190058.0
2020-07-29,Could gun.,Shopping,166283.0
2020-07-30,Kind appear environment capital explain.,Utilities,148987.0
2020-07-31,Ahead picture son.,Travel,150604.0
2020-08-01,Nearly need behavior.,Travel,153397.0
2020-08-01,Water positive child usually.,Entertainment,55645.0
2020-08-01,Relate indeed lot line lead.,Other,24200.0
2020-08-02,Course out second carry.,Health & Fitness,178712.0
2020-08-03,Significant take future.,Investment,23940.0
2020-08-04,Star executive fear.,Utilities,141577.0
2020-08-04,Your majority chance mrs generation.,Other,32100.0
2020-08-04,Help usually thank wonder draw.,Shopping,13391.0
2020-08-05,Task improve fish.,Shopping,181063.0
2020-08-05,History professional star wonder.,Food & Drink,17149.0
2020-08-06,Call whole.,Shopping,95919.0
2020-08-08,Them key.,Travel,150942.0
2020-08-08,Address century that wide.,Shopping,108106.0
2020-08-09,Sit enter perhaps however.,Entertainment,98158.0
2020-08-13,System teacher here first.,Salary,6776.0
2020-08-14,Along attention piece tv young.,Shopping,145112.0
2020-08-16,Within set region beyond.,Utilities,196164.0
2020-08-17,Tough animal someone.,Shopping,118787.0
2020-08-18,Hear certainly most not.,Rent,128907.0
2020-08-19,Company participant him.,Other,19880.0
2020-08-20,Tree central leave effect.,Other,31810.0
2020-08-21,Together let.,Health & Fitness,68163.0
2020-08-21,Citizen kid generation onto police.,Travel,15065.0
2020-08-22,Lead few yourself.,Travel,167147.0
2020-08-22,Down occur.,Food & Drink,199982.0
2020-08-26,Yeah far within.,Rent,156465.0
2020-08-27,Account ten sing.,Food & Drink,189973.0
2020-08-27,Seat strategy total simply discover.,Investment,17480.0
2020-08-29,Pm per question.,Salary,134222.0
2020-08-30,Best physical always small almost.,Entertainment,93542.0
2020-08-31,Bed far section.,Health & Fitness,3439.0
2020-09-01,Car much will.,Rent,155781.0
2020-09-05,Tree store either station.,Other,13850.0
2020-09-05,Second full boy.,Travel,115584.0
2020-09-06,Senior difficult put.,Shopping,79934.0
2020-09-07,Hand so add mr lawyer.,Rent,118827.0
2020-09-08,Herself police he push likely.,Entertainment,21278.0
2020-09-11,Trip determine as statement.,Rent,159449.0
2020-09-11,Bring animal also you.,Food & Drink,70094.0
2020-09-11,Doctor mr.,Health & Fitness,14722.0
2020-09-16,He we recent music.,Food & Drink,170066.0
2020-09-17,Those pressure street.,Rent,87271.0
2020-09-17,Allow have kitchen.,Salary,141754.0
2020-09-18,Between rate name within.,Travel,123567.0
2020-09-18,Huge couple.,Salary,9351.0
2020-09-22,Begin deep police wife.,Travel,65139.0
2020-09-22,During call north attention.,Rent,56507.0
2020-09-22,Only spend do.,Salary,11440.0
2020-09-23,Able teach certain candidate economy.,Health & Fitness,6711.0
2020-09-23,Produce ago.,Utilities,98022.0
2020-09-25,So draw food company.,Travel,68727.0
2020-09-27,Score moment second.,Travel,111602.0
2020-09-27,Sing message board mean.,Entertainment,18037.0
2020-09-27,Feeling poor all your suggest.,Salary,11148.0
2020-09-29,Make travel.,Salary,129535.0
2020-09-30,Focus chance.,Food & Drink,19518.0
2020-10-01,Person one republican.,Entertainment,61935.0
2020-10-03,Most law painting between reduce.,Salary,111141.0
2020-10-04,Involve thousand including.,Health & Fitness,7101.0
2020-10-07,Indeed believe interview professor.,Travel,51029.0
2020-10-07,Rather listen before.,Investment,30840.0
2020-10-07,It season.,Investment,20690.0
2020-10-08,News only no.,Salary,56023.0
2020-10-08,Improve them wait.,Travel,196122.0
2020-10-10,Why outside.,Travel,46269.0
2020-10-10,Official defense.,Investment,48750.0
2020-10-10,Suggest glass news.,Investment,9460.0
2020-10-12,Off southern suddenly.,Utilities,127936.0
2020-10-14,Participant price.,Rent,174671.0
2020-10-15,Congress reflect.,Salary,96264.0
2020-10-16,Go consider century price.,Food & Drink,51243.0
2020-10-16,Scientist will begin.,Rent,164601.0
2020-10-16,Heavy law church.,Rent,115827.0
2020-10-18,Since nothing be apply.,Utilities,3069.0
2020-10-19,Anyone bank kitchen interest parent.,Travel,17951.0
2020-10-23,Democratic mention generation.,Shopping,121657.0
2020-10-24,Question or money.,Entertainment,155363.0
2020-10-26,Determine worker.,Salary,60173.0
2020-10-27,Daughter war.,Shopping,61771.0
2020-10-27,Face build market.,Rent,18957.0
2020-10-27,Can mouth discover.,Entertainment,53665.0
2020-10-28,Author technology amount affect.,Investment,19230.0
2020-10-29,Office of remember individual.,Utilities,1532.0
2020-10-30,Again foot soon peace.,Salary,58961.0
2020-10-31,Join black.,Travel,140895.0
2020-11-01,Hundred bad that second develop.,Entertainment,184858.0
2020-11-01,Member box.,Entertainment,85603.0
2020-11-02,Town glass road.,Utilities,181774.0
2020-11-04,Bill eight community.,Rent,12868.0
2020-11-06,Concern significant.,Travel,88392.0
2020-11-07,Senior service large under.,Travel,140247.0
2020-11-09,Follow wife firm key light.,Salary,88114.0
2020-11-10,Option goal avoid.,Shopping,147172.0
2020-11-10,Also hard expert popular.,Food & Drink,19174.0
2020-11-12,Order his oil west school.,Food & Drink,199915.0
2020-11-12,Training occur could painting.,Travel,115673.0
2020-11-14,Whatever late specific.,Utilities,9463.0
2020-11-14,Mean common.,Travel,37116.0
2020-11-14,Yard model particular hair.,Salary,193842.0
2020-11-14,Impact full our smile.,Shopping,67328.0
2020-11-15,Form newspaper.,Utilities,66631.0
2020-11-15,Edge surface who.,Travel,132854.0
2020-11-16,Bank professional true financial.,Food & Drink,9151.0
2020-11-16,Organization visit finally.,Health & Fitness,24068.0
2020-11-17,Spend prove stock school.,Food & Drink,131874.0
2020-11-20,Position interest.,Shopping,11787.0
2020-11-22,Guy congress.,Salary,125456.0
2020-11-23,Way main difficult case.,Entertainment,54144.0
2020-11-25,Such big side.,Other,40890.0
2020-11-25,Product then.,Salary,25164.0
2020-11-26,Heavy class story side speak.,Entertainment,142247.0
2020-11-27,Analysis hair rest wide.,Food & Drink,110898.0
2020-11-27,Doctor dream whole six.,Investment,42800.0
2020-11-29,Question now key show.,Utilities,100177.0
2020-12-01,Month whom stage soon.,Travel,83683.0
2020-12-05,Appear lose he.,Salary,49502.0
2020-12-05,Surface expect several evening town.,Shopping,38931.0
2020-12-06,Begin treat stage this.,Utilities,172941.0
2020-12-10,Apply maybe dog yes.,Shopping,68635.0
2020-12-10,Agreement us stuff.,Travel,164289.0
2020-12-11,Case expert stop.,Travel,167658.0
2020-12-12,Large accept bad eight.,Salary,173187.0
2020-12-13,Vote participant institution simply down.,Salary,6968.0
2020-12-14,Draw police.,Shopping,91614.0
2020-12-14,Book toward.,Entertainment,196174.0
2020-12-16,Place offer.,Shopping,47479.0
2020-12-16,Investment pass drive.,Food & Drink,64317.0
2020-12-16,Professor beat window.,Shopping,7783.0
2020-12-18,Name skill medical after them.,Utilities,9957.0
2020-12-18,Wonder effect administration small.,Other,13220.0
2020-12-20,Run pick sign.,Salary,20843.0
2020-12-20,And national spend.,Food & Drink,144766.0
2020-12-22,Wonder long consider care.,Utilities,15891.0
2020-12-23,Fall analysis.,Travel,68374.0
2020-12-23,Firm financial.,Rent,170501.0
2020-12-24,List already positive experience television.,Shopping,190874.0
2020-12-25,Event son join hundred.,Salary,174604.0
2020-12-26,Fund cost reality happen.,Investment,24230.0
2020-12-28,Song risk bad.,Travel,199488.0
2020-12-30,Family bill foreign fast knowledge.,Shopping,195689.0
2020-12-31,Ready goal amount.,Rent,89292.0
2021-01-01,Your ever woman way avoid.,Food & Drink,10152.0
2021-01-06,Message seek civil all.,Travel,72334.0
2021-01-06,Call door.,Entertainment,106702.0
2021-01-08,Him note painting quickly.,Utilities,34827.0
2021-01-10,Know baby case happen.,Other,24720.0
2021-01-10,Economic box save.,Utilities,47206.0
2021-01-11,Hit no energy employee land.,Salary,5181.0
2021-01-12,Customer career available common.,Other,28560.0
2021-01-13,Specific whose.,Utilities,15699.0
2021-01-13,Remember nearly face feel.,Travel,128149.0
2021-01-14,Soldier meeting building.,Travel,9191.0
2021-01-14,Door management guess.,Shopping,170814.0
2021-01-15,Level work candidate this.,Other,34400.0
2021-01-15,Huge response long.,Travel,5366.0
2021-01-17,Statement available win politics.,Shopping,55622.0
2021-01-17,Quite general there sister.,Food & Drink,182213.0
2021-01-19,Item treat area.,Travel,155372.0
2021-01-20,Check clearly follow remember generation.,Health & Fitness,44582.0
2021-01-24,Suffer economy play.,Other,16200.0
2021-01-26,By field move.,Food & Drink,62478.0
2021-01-27,Option oil commercial.,Health & Fitness,14674.0
2021-01-27,American tell ball we side.,Other,31760.0
2021-01-27,Short indicate police.,Utilities,40958.0
2021-01-27,Nation politics few each southern.,Health & Fitness,10664.0
2021-01-29,Law read citizen.,Utilities,52137.0
2021-02-02,Less future century technology.,Salary,193509.0
2021-02-05,Wish candidate have no.,Health & Fitness,161042.0
2021-02-05,Letter environment easy.,Rent,29011.0
2021-02-08,Face his.,Shopping,193487.0
2021-02-08,While total spend.,Health & Fitness,1897.0
2021-02-09,Couple city you level.,Travel,107778.0
2021-02-09,Age war measure whom.,Travel,117327.0
2021-02-11,Good anything manager think pressure.,Health & Fitness,22561.0
2021-02-11,Mr suggest issue.,Food & Drink,12429.0
2021-02-13,Shake hand hundred now.,Health & Fitness,183136.0
2021-02-16,Network available mean share.,Rent,127445.0
2021-02-18,Quite budget window hour some.,Travel,130199.0
2021-02-19,Voice sense current meeting matter.,Investment,8040.0
2021-02-20,Case four.,Salary,24108.0
2021-02-21,Lead paper middle foreign party.,Utilities,78341.0
2021-02-23,Wrong school federal from.,Shopping,117881.0
2021-02-24,Majority none little admit former.,Shopping,131329.0
2021-02-27,On someone rise read.,Shopping,187872.0
2021-02-28,Listen whose situation simply officer.,Health & Fitness,44237.0
2021-03-02,Lose modern return simple herself.,Entertainment,171235.0
2021-03-02,Occur red.,Other,49600.0
2021-03-02,Kid industry.,Health & Fitness,13049.0
2021-03-04,Improve simple turn.,Rent,189853.0
2021-03-05,Million night your.,Rent,132891.0
2021-03-05,Heavy what least mouth national.,Food & Drink,11065.0
2021-03-07,Machine whatever everything fear walk.,Utilities,157609.0
2021-03-07,Relate real major.,Entertainment,11769.0
2021-03-08,Night various return explain.,Entertainment,66383.0
2021-03-09,Here woman stand west source.,Investment,27710.0
2021-03-09,Explain research.,Utilities,197518.0
2021-03-10,Pretty section degree still.,Utilities,22875.0
2021-03-12,Receive case past only drug.,Utilities,3957.0
2021-03-15,Point appear including.,Entertainment,118182.0
2021-03-15,Race case.,Other,9290.0
2021-03-16,Imagine various there.,Other,48090.0
2021-03-16,Sense expert experience.,Investment,44010.0
2021-03-17,Present discussion.,Health & Fitness,103134.0
2021-03-17,Individual study value.,Investment,8550.0
2021-03-18,Small control see the.,Travel,9215.0
2021-03-19,Across nothing.,Food & Drink,199719.0
2021-03-20,Expect writer myself management.,Shopping,137533.0
2021-03-21,Life cover both class.,Salary,15625.0
2021-03-22,Responsibility add front.,Investment,10380.0
2021-03-22,Purpose cover particularly police if.,Other,36200.0
2021-03-22,Foreign husband believe word local.,Travel,91289.0
2021-03-23,End dog.,Rent,158826.0
2021-03-23,Few reveal activity president.,Investment,40230.0
2021-03-24,Property let.,Entertainment,83349.0
2021-03-25,Rather type thousand show.,Shopping,83782.0
2021-03-26,Happen determine whatever.,Other,30600.0
2021-03-27,Lawyer writer health.,Health & Fitness,190765.0
2021-03-28,Serious soon stay seven.,Salary,1436.0
2021-03-29,Land region back nor article.,Rent,86943.0
2021-03-30,Dark mr clearly take.,Health & Fitness,162542.0
2021-04-01,Quite response.,Health & Fitness,134333.0
2021-04-02,Together knowledge.,Shopping,17375.0
2021-04-03,Car indeed nor next.,Travel,120482.0
2021-04-03,How staff.,Entertainment,31791.0
2021-04-03,Authority interest red must art.,Rent,70673.0
2021-04-08,All important shoulder she.,Rent,152759.0
2021-04-08,Year him thank trade.,Shopping,169186.0
2021-04-09,Radio product.,Food & Drink,12219.0
2021-04-11,President girl condition.,Travel,6762.0
2021-04-11,More road development about.,Travel,184386.0
2021-04-12,Leg rest interest.,Utilities,174103.0
2021-04-13,Easy get every.,Shopping,14847.0
2021-04-18,Special information.,Food & Drink,1926.0
2021-04-19,Deal beyond almost.,Shopping,84547.0
2021-04-19,Scientist i doctor.,Health & Fitness,63016.0
2021-04-19,Cell year.,Rent,176785.0
2021-04-19,Five our pull fly few.,Investment,11680.0
2021-04-21,Determine feel article we they.,Shopping,97647.0
2021-04-23,Quickly new another general poor.,Travel,43898.0
2021-04-23,Five indicate chance heavy senior.,Health & Fitness,86553.0
2021-04-24,Support feeling remain.,Salary,10586.0
2021-04-27,None whose.,Entertainment,79657.0
2021-04-27,Care drug data position two.,Food & Drink,4168.0
2021-04-27,Movie stop.,Utilities,153068.0
2021-04-30,Help painting always.,Rent,2538.0
2021-05-02,Source onto provide.,Utilities,26708.0
2021-05-04,Decade trade field training.,Entertainment,100552.0
2021-05-04,While bring yourself.,Health & Fitness,15343.0
2021-05-06,Receive region however.,Food & Drink,87808.0
2021-05-07,Focus executive letter possible final.,Rent,17256.0
2021-05-07,Third letter sort reveal seven.,Shopping,14219.0
2021-05-07,Have including none.,Rent,81601.0
2021-05-10,Administration network once.,Utilities,160463.0
2021-05-11,Charge form here.,Health & Fitness,18538.0
2021-05-11,Nearly want front shake.,Entertainment,8770.0
2021-05-12,Leave run goal cause.,Rent,79758.0
2021-05-14,Contain threat wrong whatever.,Health & Fitness,45093.0
2021-05-14,Stuff avoid.,Rent,102586.0
2021-05-15,Include successful.,Investment,33620.0
2021-05-17,Religious across.,Utilities,48018.0
2021-05-19,Health pay project pattern.,Investment,19210.0
2021-05-22,Administration mother in admit.,Rent,36252.0
2021-05-23,Within admit spend purpose south.,Salary,93327.0
2021-05-24,Truth modern.,Salary,136546.0
2021-05-24,People education great.,Health & Fitness,172985.0
2021-05-24,Health image.,Utilities,88513.0
2021-05-25,Wrong difficult range.,Travel,15947.0
2021-05-25,Behavior here.,Health & Fitness,10196.0
2021-05-27,Argue act commercial matter.,Salary,8484.0
2021-05-27,Not teach believe month.,Travel,16269.0
2021-05-29,Deep test thought.,Rent,123387.0
2021-05-30,Another avoid understand.,Salary,116486.0
2021-05-31,Probably conference sure administration debate.,Food & Drink,90497.0
2021-05-31,Up federal nor note.,Entertainment,64984.0
2021-06-02,Forward sense cause write right.,Utilities,191587.0
2021-06-02,Approach join stuff future.,Health & Fitness,196495.0
2021-06-03,Ahead event yeah make.,Investment,8200.0
2021-06-06,Wait it quickly produce beat.,Salary,198206.0
2021-06-06,Require bank child.,Utilities,73416.0
2021-06-06,First blood accept final.,Shopping,82345.0
2021-06-09,Bill beautiful issue.,Food & Drink,158056.0
2021-06-11,Mention billion bed never others.,Rent,66608.0
2021-06-11,Activity including single right.,Shopping,57545.0
2021-06-14,Occur college herself.,Utilities,67339.0
2021-06-15,Feeling manage as.,Utilities,183433.0
2021-06-16,Inside machine baby.,Shopping,26661.0
2021-06-20,Result many pattern.,Rent,62607.0
2021-06-20,Career according.,Health & Fitness,162824.0
2021-06-22,Success here television key.,Rent,129559.0
2021-06-23,Carry fly water cut fire.,Health & Fitness,4628.0
2021-06-24,Fact reason make office.,Entertainment,69005.0
2021-06-26,Heavy staff hotel box.,Entertainment,46082.0
2021-06-27,Or nation race.,Investment,29230.0
2021-06-28,Well left.,Rent,10203.0
2021-06-28,Something story attorney summer.,Food & Drink,132724.0
2021-06-28,Cause field education child.,Utilities,119852.0
2021-06-28,Available wrong look husband.,Investment,18560.0
2021-06-29,Myself so growth time.,Food & Drink,82761.0
2021-07-04,Point be shoulder price great.,Entertainment,193948.0
2021-07-04,Worker quality hundred sell whole.,Salary,47567.0
2021-07-04,Action else.,Salary,180891.0
2021-07-06,Newspaper reach determine hear leg.,Other,42820.0
2021-07-07,General agency bit.,Shopping,101078.0
2021-07-09,Break wait.,Utilities,163561.0
2021-07-09,Find lay deal lot.,Utilities,174727.0
2021-07-10,Just recent.,Other,35400.0
2021-07-10,Feel special.,Rent,142569.0
2021-07-11,Support possible.,Rent,57728.0
2021-07-11,Might necessary former.,Travel,90415.0
2021-07-11,Discussion if continue policy.,Shopping,19251.0
2021-07-12,Ahead pass culture or.,Salary,177041.0
2021-07-13,Relate day.,Shopping,11598.0
2021-07-14,Big the cost for leader.,Entertainment,77847.0
2021-07-15,Month police others particularly.,Investment,7300.0
2021-07-19,Girl suddenly.,Rent,167996.0
2021-07-19,Try opportunity public.,Utilities,28382.0
2021-07-23,Draw bring health.,Salary,139518.0
2021-07-23,Home others offer institution main.,Other,41740.0
2021-07-24,Never majority cell.,Rent,4782.0
2021-07-28,People tend weight machine.,Utilities,110212.0
2021-07-29,White measure manager range.,Shopping,23126.0
2021-08-02,Major bar air set.,Travel,25248.0
2021-08-06,Ever mrs.,Salary,13499.0
2021-08-07,Not significant manager member.,Salary,119751.0
2021-08-07,Environmental myself.,Investment,16760.0
2021-08-08,State among rest national wrong.,Food & Drink,123347.0
2021-08-09,Fear yourself last.,Shopping,38275.0
2021-08-11,Keep yes.,Health & Fitness,14468.0
2021-08-13,Specific onto go.,Food & Drink,7870.0
2021-08-13,Pattern size spend.,Shopping,196227.0
2021-08-15,Go exactly much food region.,Food & Drink,72062.0
2021-08-16,Environment teach world quickly believe.,Investment,13490.0
2021-08-18,Yeah term.,Health & Fitness,27549.0
2021-08-20,Economic represent stock.,Health & Fitness,162888.0
2021-08-21,Central plan physical heart.,Other,44200.0
2021-08-21,Idea seek.,Utilities,13557.0
2021-08-22,Wear force able similar.,Salary,836.0
2021-08-23,Play recently sure somebody.,Entertainment,177272.0
2021-08-24,Why station manager.,Travel,103561.0
2021-08-25,Front official not.,Salary,51409.0
2021-08-27,Thus several animal phone.,Entertainment,57936.0
2021-08-29,Buy tax.,Food & Drink,173294.0
2021-09-05,A when dark read.,Rent,160069.0
2021-09-06,City usually ever.,Shopping,148918.0
2021-09-09,Bar professor power.,Shopping,68468.0
2021-09-09,Personal rise sense investment.,Other,35090.0
2021-09-09,Ability live.,Travel,160428.0
2021-09-10,Difficult quite act receive stage.,Rent,86691.0
2021-09-11,Local director become.,Utilities,109549.0
2021-09-11,Finish thing.,Rent,66256.0
2021-09-11,Similar send card year.,Salary,120922.0
2021-09-11,Most across.,Salary,70958.0
2021-09-15,Goal defense security turn.,Other,40630.0
2021-09-16,Beautiful beyond sell.,Food & Drink,15933.0
2021-09-16,White fire cause everybody.,Health & Fitness,103104.0
2021-09-17,Network outside parent.,Utilities,190605.0
2021-09-17,Day parent country.,Other,7850.0
2021-09-19,Position six soldier.,Investment,35000.0
2021-09-19,History drop point audience.,Food & Drink,121414.0
2021-09-19,Value car team nothing.,Health & Fitness,75031.0
2021-09-19,Raise several west side admit.,Utilities,106363.0
2021-09-20,Energy always.,Travel,50673.0
2021-09-21,Media pick may indeed.,Investment,45880.0
2021-09-28,Policy mrs.,Rent,53094.0
2021-10-01,Base bad tv.,Salary,4370.0
2021-10-07,Force only shake power poor.,Salary,40835.0
2021-10-08,Role suffer around beat.,Investment,42030.0
2021-10-13,Law participant.,Other,12190.0
2021-10-13,Budget remain reduce.,Health & Fitness,13390.0
2021-10-13,Well mission situation result.,Travel,178375.0
2021-10-16,Camera sit environmental though.,Utilities,158946.0
2021-10-20,Southern evening ask republican.,Rent,197041.0
2021-10-21,Baby lawyer growth matter note.,Entertainment,158284.0
2021-10-22,Effort bill off.,Other,43280.0
2021-10-24,Scientist able teach.,Utilities,122778.0
2021-10-24,Animal hair turn.,Other,37610.0
2021-10-27,Need trial.,Salary,105613.0
2021-10-27,Focus indicate result.,Rent,2594.0
2021-10-30,Number budget.,Rent,90545.0
2021-11-03,Development middle animal.,Health & Fitness,26539.0
2021-11-04,Theory tend.,Utilities,153789.0
2021-11-05,Beat lead hard factor.,Investment,15170.0
2021-11-05,Drug happy will young simply.,Travel,33767.0
2021-11-06,Character usually agency.,Entertainment,69859.0
2021-11-07,Player really act friend.,Travel,169341.0
2021-11-10,Billion morning draw.,Travel,25909.0
2021-11-15,Win central.,Rent,101012.0
2021-11-16,Analysis discuss.,Investment,19020.0
2021-11-17,Red head window be.,Health & Fitness,168663.0
2021-11-18,Card star avoid nothing.,Food & Drink,17163.0
2021-11-18,Door end fire.,Travel,130575.0
2021-11-19,Fish evening avoid dark.,Shopping,124004.0
2021-11-21,Choice clearly.,Other,29740.0
2021-11-21,Image movie who debate.,Shopping,60189.0
