date,category,amount,notes
May 28 2022,Food,55.0,Uber to office
02/18/2021,Others,373.0,Netflix subscription via app
09/10/2022,Savings,8360.0,Dinner at resto via app
05/20/2021,Food,1766.0,Grocery shopping
20-07-21,Tavel,411.0,Paid electricity bill late
2020-02-22,Rent,20.0,kU9tfLsTrc
2019-10-28,Rent,78.0,Netflix subscription
12/11/2019,Rent,720.0,Grocery shopping
2021-09-09,OOthers,1067.0,Netflix subscription cash
June 29 2020,Food,693.0,Doctor visit
February 15 2021,Travel,641.0,Paid electricity bill
2020-09-03,Food,556.0,Salary cash
10/05/2022,Salary,60559.0,Grocery shopping late
2021-10-04,Health,57.0,Doctor visit
2020-05-09,Food,641.0,CoBzaIzlT
June 24 2022,Travel,564.0,Doctor visit late
29-04-19,Rent,1229.0,Grocery shopping 
August 02 2019,Food,189.0,Netflix subscription
01/31/2021,Entertainment,37.0,Gift
2020-11-16,Travel,175.0,Salary
11/11/2021,Food,2183.0,Salary cash
May 29 2021,eRnt,705.0,Salary
2019-07-01,Trave,404.0,Course fee
2019-04-02,Bonus,45883.0,Course fee cash
05/26/2022,Food,40.0,Monthly rent cash
08/29/2021,Salary,69360.0,Gift cash
03/01/2021,Food,227.0,Netflix subscription late
09-12-21,Food,757.0,16wmjUjz
2019-01-23,Food,81.0,Netflix subscription
June 11 2021,Food,196.0,Monthly rent
2021-05-28,Travel,86.0,Monthly rent
21-04-21,Rent,641.0,Salary
2019-10-14,Rent,143.0,Netflix subscription via app
21-04-20,Savingss,2035.0,Salary
18-03-21,Rent,51.0,zldFyXXwJ
06/13/2021,Food,575.0,Netflix subscription
17-08-22,Rent,123.0,Netflix subscription cash
16-01-21,Health,195.0,Salary
2020-01-17,Food,587.0,LDRxleWusbe7ZvYa
10/14/2020,Rent,555.0,Dinner at resto
11-05-20,Rent,61.0,Doctor visit
28-06-19,Utilities,824.0,Dinner at resto
2019-03-06,Savings,443.0,Dinner at resto cash
10/04/2022,Food,225.0,Paid electricity bill
2020-04-30,Rent,326.0,Dinner at resto 
29/10/19,Rent,1881.0,Course fee
09-07-22,Trave,111.0,1yv2UgqhuT
01/24/2022,Travel,5172.0,Course fee
2021-06-20,Travel,1703.0,Doctor visit via app
04-08-21,Savings,1711.0,Uber to office via app
November 23 2019,Other Income,45038.0,Doctor visit
June 26 2019,Entertainment,1050.0,Uber to office
March 13 2019,Travel,617.0,Course fee 
2022-12-20,Rent,104.0,Uber to office
2020-09-01,Other Income,69193.0,Dinner at resto 
17-03-21,Rent,959.0,Salary
2019-12-03,Salary,41560.0,Doctor visit late
2019-05-29,eRnt,77.0,Monthly rent
2022-02-09,Travel,1175.0,Gift
11/01/2020,Utilities,85.0,Uber to office 
04/29/2021,Rent,232.0,Uber to office
11-02-21,Food,1588.0,Uber to office via app
,Ren,205.0,Dinner at resto
14-04-21,Travel,374.0,Netflix subscription
10/22/2022,Food,263.0,Gift via app
30-01-21,Entertainment,757.0,Gift late
2021-01-17,Rent,50.0,Grocery shopping 
12-11-21,Bonus,43834.0,Gift cash
2020-10-11,Utilities,472.0,Uber to office cash
01/22/2021,Salary,49691.0,Salary via app
July 25 2020,rTavel,1413.0,nqj5djeLfknN4JU
October 09 2021,Education,207.0,Netflix subscription
08-04-22,Entertainment,923.0,Course fee 
12/24/2020,Utilities,157.0,4qk8NxcvcHAcxzQrBB
01/30/2019,Savings,2425.0,Monthly rent
06/02/2020,Rent,106.0,Doctor visit
2020-09-26,Food,264.0,lPujru8v5kb9vKPv
07/21/2022,Utilities,133.0,Uber to office 
11-03-21,Savings,747.0,Uber to office
11/12/2021,Bonus,68420.0,Uber to office
15-05-21,Travel,348.0,Paid electricity bill
2019-01-11,Bonus,57190.0,Salary 
2020-03-23,Foo,568.0,Dinner at resto 
18-10-22,Travel,125.0,Paid electricity bill late
May 30 2019,Others,726.0,Salary
04/29/2020,Food,301.0,Paid electricity bill cash
2020-10-19,Salary,39615.0,Paid electricity bill
2019-06-05,Health,324.0,Uber to office 
12/08/2020,Rent,1789.0,iU4GRmkU
2020-12-24,Food,,Course fee late
2021-11-07,Rent,61.0,RQEpVsCm
January 16 2021,Food,64.0,Monthly rent 
2022-03-15,Salary,66226.0,Paid electricity bill cash
2022-11-17,Food,114.0,Paid electricity bill
01/05/2021,Travel,97.0,Netflix subscription
July 24 2022,Food,323.0,Salary cash
06/03/2019,Utilities,246.0,Dinner at resto
02-03-19,Otehr Income,59622.0,Uber to office
2020-10-07,Utilities,965.0,Gift via app
March 14 2022,Rent,116.0,Netflix subscription
2019-04-03,Food,1372.0,Monthly rent
01/23/2019,Travel,142.0,Netflix subscription
2019-11-04,Entertainment,83.0,Course fee
2020/05/05,Foo,231.0,Netflix subscription cash
23-01-19,Bonus,63751.0,Salary via app
2019-02-11,Food,1789.0,CTahRXPpt1r
2020-03-26,Salary,75840.0,Dinner at resto via app
January 10 2022,Rent,69.0,Grocery shopping 
12/15/2021,Travel,4679.0,Doctor visit cash
2020-02-11,Food,259.0,Doctor visit cash
11-01-22,Others,843.0,Paid electricity bill
2021-08-03,Food,516.0,Gift
10/20/2022,Rent,731.0,Salary late
15-03-19,Food,388.0,Netflix subscription
02/09/2022,Rent,418.0,Paid electricity bill cash
2019-07-31,Other Income,54548.0,Salary cash
November 28 2020,Rent,201.0,Doctor visit via app
July 06 2019,Bonus,68463.0,zhjquyI3MwYbP4rQr9
26-07-21,Food,1325.0,Dinner at resto
April 14 2019,Food,8096.0,Course fee
07/29/2019,Rent,194.0,Dinner at resto
October 07 2020,Rnt,1706.0,Doctor visit
24-01-20,Food,20.0,Gift via app
2022-03-29,Rent,424.0,Grocery shopping via app
2020-10-21,Others,2364.0,Salary
07/19/2019,Food,594.0,Netflix subscription
06/27/2019,Food,239.0,Paid electricity bill cash
2020-04-17,Other Income,48427.0,Uber to office
2020-08-28,Food,287.0,Dinner at resto 
01/12/2022,Rent,709.0,Course fee late
12/12/2020,Entertainment,4518.0,Netflix subscription
2020-08-15,Food,512.0,9mR8zTIgFl
2019-04-12,Travel,335.0,Doctor visit
2021-08-06,Otehrs,1952.0,Gift
2019-05-24,Bonus,39902.0,Paid electricity bill late
2021-06-28,Rent,255.0,Netflix subscription
09/16/2019,Food,964.0,Salary
2020-10-22,Salary,67136.0,Monthly rent
November 01 2019,Rent,-1049.0,Grocery shopping 
2022-02-01,Rent,2070.0,Doctor visit
19-10-22,Utilities,730.0,Uber to office via app
02/15/2019,Education,970.0,Dinner at resto
March 27 2021,Utilities,101.0,Course fee
10-11-20,Travel,480.0,Netflix subscription
29-10-20,Travel,49.0,Course fee
2020-10-19,Rent,18.0,Paid electricity bill
02/03/2019,Entertainment,908.0,Monthly rent
July 03 2022,Travel,1701.0,Salary
18-11-21,Food,1328.0,Paid electricity bill
2021-05-18,Food,412.0,iu2HPMFwQ3ZsxQWTV25
2019-01-27,Savings,284.0,Dinner at resto
December 13 2021,Rent,2016.0,Monthly rent
07/28/2021,Other Income,64138.0,Monthly rent via app
2022-03-27,Travel,1741.0,Course fee via app
2021-05-02,Salary,77659.0,Dinner at resto
31-05-22,Food,448.0,Uber to office late
2019-11-12,Food,299.0,Dinner at resto
2022-01-10,Other Income,75061.0,Salary
08/24/2019,Bonus,59042.0,Paid electricity bill
02/23/2020,Education,1152.0,Doctor visit 
2019-06-10,Food,47.0,Paid electricity bill
2021-07-03,Food,600.0,Course fee via app
20-02-21,Bonus,42819.0,Gift via app
16-07-22,Food,164.0,7LFdoPRzhpf
07-10-19,Rent,349.0,Gift
August 15 2021,Education,548.0,Monthly rent
February 18 2019,Utilities,2209.0,Paid electricity bill
05/26/2019,Rent,6523.0,Monthly rent
08/19/2020,Other Income,76838.0,Uber to office
08/05/2020,Education,767.0,Uber to office
2021-03-08,Travel,117.0,Monthly rent late
November 30 2022,Utilities,102.0,Monthly rent
09-03-19,Rent,416.0,Netflix subscription
10/30/2021,Entertainment,111.0,Grocery shopping
03/02/2021,Entertainment,831.0,fADSGGeLdIUz9KhNcw
08/03/2020,Entertainment,117.0,Uber to office
11-07-20,Utilities,366.0,Doctor visit
22-11-21,Rent,710.0,Netflix subscription
10/10/2021,Food,480.0,Salary
07/24/2021,Salary,72217.0,Grocery shopping 
2019-02-20,Travel,1945.0,Gift via app
08/03/2019,Utilities,32.0,Grocery shopping
11/23/2019,Entertainment,366.0,Grocery shopping
November 05 2022,Bonus,69315.0,Paid electricity bill via app
03/23/2021,Travel,-786.0,Netflix subscription 
10/31/2019,Salary,42490.0,Grocery shopping
20-09-22,Food,642.0,D3QuRGl5j4yuEvu
2019-06-12,Travel,614.0,Salary 
September 25 2022,Health,201.0,Netflix subscription
2021-09-02,Travel,182.0,Course fee
June 20 2022,Entertainment,465.0,Dinner at resto
05/25/2020,Rent,1253.0,Netflix subscription via app
September 16 2019,Food,527.0,Gift
December 13 2022,Rent,457.0,Gift
08/24/2019,Entertainment,135.0,uGLMTS2HW
13-06-20,Food,6543.0,Paid electricity bill late
,Travel,1713.0,Gift
April 15 2021,Savings,45.0,Doctor visit
November 01 2020,Rent,72.0,Gift via app
12/07/2021,Food,462.0,Salary
2020-08-13,Food,1220.0,Uber to office
2019-08-19,Savings,50.0,Salary late
11-12-22,Travel,184.0,Uber to office
05-08-20,Rent,2081.0,Netflix subscription
05/29/2020,Bonus,55407.0,Dinner at resto 
2021-04-05,Food,111.0,Grocery shopping cash
December 05 2021,Rent,437.0,Dinner at resto cash
03/29/2020,Food,999999.0,Course fee late
01/13/2022,Bonus,72765.0,Salary 
05-06-19,Salary,53363.0,Grocery shopping
01/16/2019,Rent,278.0,Paid electricity bill
01/10/2020,Food,374.0,Dinner at resto
10-06-22,Bonus,47686.0,Grocery shopping
06/25/2019,Utilities,356.0,Course fee
April 12 2020,Utilities,160.0,Gift late
08/09/2020,Other Income,55351.0,Gift
19-01-22,Food,1443.0,Monthly rent
01/14/2022,Others,12728.0,Doctor visit
2019-07-02,Entertainment,1972.0,Course fee
2020-10-24,Rent,969.0,Salary
2020-07-02,Food,666.0,Monthly rent
2021-04-10,Bonus,58814.0,Netflix subscription via app
2021-02-15,Travel,4409.0,Course fee
09/17/2020,Food,261.0,Salary
02/06/2021,Bonus,66594.0,TcWJmtPa
2020-07-29,Utilities,276.0,NxH69Odw2
08/09/2021,Bonus,54405.0,Monthly rent via app
12/12/2019,Rent,2070.0,Dinner at resto 
03/11/2021,Food,400.0,Gift cash
2021-02-01,Travel,77.0,Uber to office 
05/08/2020,Others,103.0,ezebfSjgbIcK3D
27-02-20,Food,,Doctor visit
2022-06-26,Food,404.0,NUGOxY5uEE6VGxC6Dd
27-12-21,Rent,360.0,Grocery shopping
11-05-19,Bonus,76426.0,Salary
May 09 2020,Food,1012.0,oUUq1sbTZ0KCLrWUTx
2021-06-03,Food,1000.0,Dinner at resto
April 22 2021,Entertainment,905.0,Paid electricity bill
22-08-21,Savings,448.0,Course fee
2021-09-28,Travel,581.0,Salary
07/08/2021,Travel,645.0,Netflix subscription 
10-11-19,Food,215.0,Paid electricity bill cash
2021-11-04,Rent,611.0,Doctor visit 
10/11/2019,Heealth,164.0,Salary
19-11-20,Travel,303.0,Course fee 
2021-04-16,Food,2228.0,Paid electricity bill
2020-09-28,Rent,255.0,Salary
2022-01-11,Food,207.0,Monthly rent
2019-09-01,Food,584.0,Course fee
2021-10-22,Food,248.0,Gift cash
2019-03-21,Other Income,45533.0,Salary 
,Entertainment,5781.0,Salary
2022-11-05,Salary,75900.0,Monthly rent 
2021-01-14,Food,304.0,Gift
23-12-22,Rent,1342.0,Uber to office
08/04/2021,Food,476.0,Gift cash
01/08/2020,Food,1836.0,Monthly rent cash
April 16 2022,Entertainment,92.0,Paid electricity bill
07/03/2019,Rent,1625.0,Salary late
23-08-22,Utilities,376.0,Dinner at resto
March 05 2022,Rent,92.0,Gift
09/21/2019,Travel,130.0,Course fee
01/11/2022,Food,252.0,Salary
2022-06-23,Entertainment,98.0,Dinner at resto
03/24/2021,Rent,105.0,Doctor visit
2021-04-12,Rent,149.0,GicUyo3QZlua
01/19/2020,Other Income,71181.0,Netflix subscription
11/05/2021,Food,580.0,Netflix subscription
16-10-21,Rent,545.0,Uber to office
2022-10-01,Food,109.0,Gift
2019-09-11,Food,80.0,Salary
2020-08-04,Bonus,55448.0,OkSl27OasapS6rCA
09-04-22,Savings,192.0,Grocery shopping
10/22/2019,Others,240.0,Monthly rent
11/09/2019,Entertainment,126.0,Salary
28-01-20,Rent,1629.0,Doctor visit cash
March 29 2021,Food,439.0,Gift
04-05-20,Travel,3284.0,Paid electricity bill late
2019-11-28,Rnt,458.0,Grocery shopping
20-02-19,Rent,1433.0,Grocery shopping late
2022-02-01,Food,127.0,Grocery shopping
2020-04-25,Food,7359.0,Salary
06/27/2019,Rent,3077.0,Doctor visit
03-02-20,Others,88.0,Doctor visit late
March 02 2020,Travel,20.0,Netflix subscription cash
2021-08-29,Rent,1499.0,Grocery shopping
07/26/2019,Food,3930.0,Dinner at resto
July 12 2019,Fod,36.0,Salary cash
02/17/2020,Entertainment,288.0,Uber to office
08/08/2022,Food,5400.0,Doctor visit
25-11-19,Food,374.0,Paid electricity bill late
15-09-21,Food,365.0,Uber to office
May 25 2020,Food,4318.0,Salary 
2021-10-06,Entertainment,298.0,hBz81no7L1
December 28 2020,Foodd,902.0,Dinner at resto 
05-01-21,Food,424.0,Netflix subscription via app
31-01-22,Travel,428.0,RNhdIbmIwXfsOTAot
August 25 2020,Food,133.0,Paid electricity bill late
10/19/2021,Salary,49111.0,Dinner at resto 
07/09/2020,Food,47.0,mAwEWPOy3LrS
08/21/2021,Health,1327.0,Netflix subscription
12/23/2022,Rent,92.0,Paid electricity bill
2020-10-10,Others,77.0,Paid electricity bill
09/27/2019,Food,67.0,Ww2oL2xdhiC
09/05/2020,Fod,1087.0,Doctor visit
11/20/2022,Food,236.0,Netflix subscription 
December 12 2022,Rent,1016.0,Doctor visit cash
2020-08-31,Utilities,162.0,Paid electricity bill
07/29/2020,Entertainment,,Gift via app
2022-10-13,Rennt,661.0,Course fee
April 17 2020,Food,640.0,Paid electricity bill
April 22 2022,Entertainment,822.0,Doctor visit
2022-06-22,Rent,353.0,Monthly rent
July 26 2020,Utilities,106.0,Course fee
August 26 2019,Food,745.0,Gift
25-02-20,Travel,1037.0,Paid electricity bill cash
2021-08-08,Entertainment,1643.0,Grocery shopping
02/09/2021,Food,332.0,Netflix subscription
11/22/2020,Salary,58158.0,Doctor visit
02-06-22,Ret,394.0,Salary 
09/04/2019,Entertainment,12.0,Doctor visit
2022-01-07,Salary,82077.0,Netflix subscription
December 30 2020,Other Income,42452.0,Grocery shopping
14-08-20,Savings,501.0,Course fee
2020-07-17,Travel,41.0,Grocery shopping
07/11/2022,Entertainment,216.0,Uber to office
07-10-20,Rent,11680.0,Doctor visit
09/17/2021,Food,166.0,Doctor visit
2019-08-30,Food,113.0,Course fee
24-04-19,Utilities,1086.0,Doctor visit
01-12-20,Travel,1339.0,Doctor visit
2021-02-28,Foood,1678.0,Salary 
2019-07-05,Travel,258.0,Gift
September 29 2020,Food,2152.0,Salary
17-05-20,Rent,1215.0,rChxJ1egv
03/04/2022,Rent,143.0,Grocery shopping
2021-07-08,Travel,365.0,Monthly rent
02/09/2021,Retn,51.0,Doctor visit
January 05 2019,Rent,592.0,Monthly rent
03-09-20,Food,2845.0,7wKMnd5nQMm6YKPClcCr
01/24/2019,Food,127.0,Doctor visit
01/19/2019,Othhers,892.0,Gift
June 08 2021,Food,255.0,Uber to office
January 19 2020,Utilities,65.0,Uber to office
04/26/2021,Other Income,77536.0,Uber to office
08/12/2021,Rent,746.0,7WfVwD83
05/24/2021,Travel,195.0,Dinner at resto
2019-10-16,Food,1796.0,Dinner at resto
06/17/2020,Rent,85.0,Netflix subscription 
09/29/2019,Rent,72.0,Doctor visit
03/12/2020,Utilities,312.0,Gift
07/17/2022,aSvings,431.0,Dinner at resto
10/13/2020,Food,298.0,Doctor visit
04-01-22,Food,1125.0,Grocery shopping 
07/01/2021,Utilities,711.0,Dinner at resto
02/10/2021,Bonus,55467.0,Monthly rent late
2022-03-24,Savings,56.0,Netflix subscription
June 02 2019,Bonus,75939.0,Grocery shopping
15-11-19,Entertainment,802.0,Uber to office via app
09-05-20,Entertainment,936.0,Dinner at resto
07/17/2021,Travel,604.0,Paid electricity bill
08/16/2019,Other Income,48672.0,Course fee
28-03-19,Others,1553.0,PzHzCcU4si
03/30/2022,Other Income,36590.0,Paid electricity bill
2020-01-18,Travel,2704.0,Doctor visit
13-09-20,Rent,3307.0,Gift 
2020-07-24,Utilities,77.0,Uber to office
05/01/2021,Food,367.0,Gift late
2022-09-19,Othhers,44.0,Uber to office
2019-04-23,Bonus,48080.0,Salary 
06/08/2019,Utilities,995.0,Salary
October 27 2022,Bonus,43933.0,Gift
14-12-20,Bonus,60047.0,Uber to office
25-12-21,Food,715.0,Salary late
05/08/2021,Entertainment,2154.0,Monthly rent
2022-07-18,Utilitise,736.0,Doctor visit
,Food,2103.0,Salary 
03-11-22,Travel,567.0,Salary
06/23/2019,Rent,1107.0,Monthly rent
2020-11-25,Utilities,757.0,Dinner at resto
01-01-22,Food,668.0,Grocery shopping cash
,Entertainment,100.0,Doctor visit
05-01-22,Rent,784.0,SVGjFupg3FXJxUf5Q7Pq
2020-08-22,Other Income,55665.0,Course fee via app
2022-01-14,Utilities,5966.0,Dinner at resto
2020-03-24,Entertainment,287.0,Doctor visit
29-01-22,Food,4266.0,Grocery shopping
04/03/2022,Rent,1266.0,Paid electricity bill
31-01-22,Salary,76476.0,Dinner at resto 
06-11-21,Travel,127.0,Course fee
10/06/2022,Entertainment,1025.0,Monthly rent
01/05/2019,Rent,4504.0,Monthly rent
2022-09-15,Health,654.0,Netflix subscription
2022-09-07,Education,776.0,Course fee
July 06 2021,Health,552.0,Course fee
2019-01-19,Utilities,149.0,Netflix subscription
17-10-21,Other Income,26018.0,Grocery shopping
2020-03-19,Food,47.0,Paid electricity bill late
10/23/2019,Travle,341.0,vZ431GtAo9cUy
23-02-20,Utilities,298.0,Monthly rent cash
2022-01-26,Utilities,250.0,Doctor visit via app
27-11-21,Others,991.0,hBDi272nn
2022-07-20,Education,326.0,Doctor visit
25-11-19,Travel,279.0,Course fee late
October 11 2022,Food,45.0,Paid electricity bill 
09-11-20,Other Income,56722.0,GdkfctB7hPYDs
02/15/2022,Healt,154.0,Paid electricity bill
05/26/2019,Rent,226.0,Uber to office
2019-02-05,Food,949.0,Paid electricity bill
03/18/2020,Education,3783.0,Dinner at resto
08/26/2020,Food,345.0,Paid electricity bill
September 13 2020,Food,286.0,Doctor visit
16-02-22,Entertainment,2571.0,Netflix subscription 
October 17 2021,Rent,286.0,Doctor visit
03/26/2022,Others,1582.0,Paid electricity bill
10/30/2019,Food,766.0,Doctor visit
09/09/2019,Entertainment,1976.0,Doctor visit cash
September 11 2020,Health,1062.0,Uber to office cash
28-03-21,Travel,288.0,Dinner at resto via app
January 27 2020,Utilities,305.0,Monthly rent
11-08-22,FFood,2131.0,Paid electricity bill cash
22-02-22,Salary,73481.0,Uber to office cash
May 17 2022,Rent,80.0,Dinner at resto
08-10-22,Salary,31992.0,Monthly rent
2021-07-10,Food,1150.0,Grocery shopping cash
24-02-19,Other Income,64532.0,Dinner at resto
2020-01-23,Food,297.0,Grocery shopping
12/28/2022,Other Income,50366.0,Uber to office
02-08-22,Food,278.0,Uber to office
May 09 2019,Others,25.0,Dinner at resto
2019-03-29,Food,117.0,Course fee
01/06/2021,Bonu,51870.0,Dinner at resto
10-04-22,Food,619.0,Monthly rent
October 12 2019,Rent,118.0,Course fee
12-12-22,Rent,899.0,Uber to office
May 17 2021,Travel,223.0,Course fee cash
2022-11-17,Travel,1367.0,Uber to office
23-05-19,Education,1490.0,Grocery shopping
05/07/2022,Food,383.0,Gift late
2020-10-17,Food,493.0,Monthly rent
03/15/2020,Utilities,810.0,Dinner at resto
06/18/2020,Travel,1069.0,o97zunjcdwR
28-03-19,Others,1553.0,PzHzCcU4si
18-04-19,Travel,115.0,Grocery shopping
December 06 2019,Rent,2098.0,Doctor visit
2019-07-26,Salary,38983.0,Grocery shopping
2019-05-09,Foood,132.0,Doctor visit
October 24 2020,Entertainment,213.0,RaGsYvbh
10/06/2020,Food,170.0,Uber to office
2021-12-22,Rent,1374.0,Paid electricity bill
30-03-19,Entertainment,390.0,Gift
10/27/2019,Other Income,57261.0,Course fee
August 05 2019,Rent,1965.0,Oj5dHEuv
19-04-22,Food,645.0,Course fee
2020-03-28,Rent,69.0,Grocery shopping
January 04 2021,Food,451.0,Doctor visit
September 25 2021,Others,362.0,5M01gbjIQkWEhD
2020-10-19,Bonus,71760.0,Paid electricity bill
21-02-21,Travel,1219.0,Doctor visit via app
09/14/2021,Entertainment,1166.0,Uber to office
08/11/2021,Rent,1371.0,Paid electricity bill via app
20-11-20,Food,1140.0,Dinner at resto
16-05-20,Food,161.0,Course fee
11/03/2022,Food,103.0,Grocery shopping
December 22 2021,Others,2520.0,Salary
07-07-20,Rent,1095.0,Paid electricity bill cash
28-02-20,Travel,1745.0,Netflix subscription late
19-12-20,Others,2744.0,Netflix subscription 
16-10-21,Food,230.0,Doctor visit
June 30 2022,Travel,373.0,Course fee via app
08/10/2019,Food,284.0,Paid electricity bill via app
01/04/2021,Food,1223.0,Doctor visit via app
20-10-22,Rent,208.0,Salary 
23-04-19,Travel,571.0,Gift late
06/30/2021,Food,33.0,Dinner at resto
03/29/2021,Entertainment,276.0,Uber to office
19-09-19,Travel,95.0,Doctor visit
November 15 2020,Utilities,362.0,Doctor visit
May 01 2019,Other Income,57565.0,Uber to office
07/25/2020,Savings,537.0,Gift
25-04-20,Food,852.0,Dinner at resto
July 13 2022,Rent,4777.0,Netflix subscription
24-06-22,Food,539.0,Monthly rent
25-04-21,Salary,78391.0,Dinner at resto
10/09/2019,Rent,840.0,Paid electricity bill 
02/18/2020,Rent,839.0,Monthly rent
26-09-20,Food,512.0,Course fee cash
04/10/2019,Travel,253.0,Uber to office 
2021-11-04,BBonus,73402.0,Grocery shopping
2019-09-05,Bons,60922.0,Dinner at resto
08-03-21,Reent,89.0,Doctor visit
19-02-20,Salary,84348.0,Gift
September 25 2022,Food,434.0,Course fee
09-10-22,Rent,750.0,Gift
22-11-20,Travel,123.0,Doctor visit
08/04/2019,oFod,529.0,Netflix subscription
10-09-19,Food,144.0,Doctor visit
20-10-19,Others,171.0,Grocery shopping via app
11/10/2019,Eduation,1171.0,Monthly rent
2019-06-13,Bonus,66653.0,Doctor visit
2022-09-04,Salary,46756.0,Gift
04/28/2022,Health,2435.0,Uber to office
29-06-19,Entertainment,316.0,Salary via app
March 21 2021,Rent,269.0,IOcqTPRj1mZ
2020-11-13,Rent,1304.0,Monthly rent late
12/10/2019,Rent,111.0,Paid electricity bill
11/05/2019,Food,2427.0,Paid electricity bill
2022-06-23,Utilities,346.0,Gift
06/02/2021,Others,175.0,Doctor visit
06/14/2019,Salary,64756.0,Paid electricity bill
06-02-20,Travel,100.0,Monthly rent 
11/13/2020,Other Income,89028.0,Paid electricity bill
05-06-21,Rent,195.0,Salary via app
03/24/2022,Savings,194.0,Course fee
04/01/2019,Rent,286.0,Doctor visit
April 01 2021,Food,3489.0,Grocery shopping
2020-09-01,Food,2081.0,Course fee
23-11-20,Utilities,270.0,Doctor visit
2022-11-07,Food,1359.0,Course fee
October 04 2022,Health,192.0,Netflix subscription
2022-04-21,Ret,702.0,Paid electricity bill
February 22 2020,Travel,386.0,Monthly rent 
02/04/2021,Savings,68.0,Uber to office via app
03/12/2022,Food,1858.0,Uber to office
30-07-21,Entertainmentt,3078.0,Dinner at resto via app
September 10 2022,Entertainment,38.0,Grocery shopping cash
2022-04-15,Rent,1278.0,Gift
24-10-22,Rent,106.0,Uber to office
16-02-21,Rent,430.0,Uber to office
10/02/2022,Rent,4889.0,Paid electricity bill
April 23 2022,Travel,2374.0,Monthly rent 
January 12 2021,Travel,524.0,Dinner at resto
10/22/2019,Salary,85628.0,Paid electricity bill late
09/25/2021,Food,199.0,69H0adDwPI20T
05/25/2022,Utilities,1067.0,Doctor visit via app
October 20 2022,Other Income,66826.0,Netflix subscription
June 01 2021,Entertainment,77.0,Gift via app
2020-11-23,Savings,1539.0,Paid electricity bill
2021-03-04,Rent,2044.0,Uber to office
