date,category,amount,notes
2022-07-19,Rentt,40813.0,Books
2024-12-31,Utlities,3414.0,test
31-03-22,Food,2033.0,EMI payment
11/30/2023,Bonus,44932.0,Lunch
14-08-22,FOOD,999999.0,xyz123
2024-05-03,Education,2274.0,Grocery shopping
2024-12-30,travel,8592.0,Lunch
2023-05-01,rent,6779.0,Monthly rent payment
01-12-22,Investment,29235.0,xyz123
04/02/2023,Health,2143.0,asdfgh
2022-05-17,Foods,4945.0,test
16-10-21,Entertainment,8152.0,Uber ride
12/07/2022,Other,7300.0,!!!
04-06-24,Foods,4603.0,EMI payment
2022-10-13,Entrtnmnt,4719.0,Coffee
12-05-22,Rent,27792.0,Doctor consultation
06-10-2022,TRAVEL,6691.0,Doctor consultation
2022-04-05,RENT,5935.0,Coffee
02/26/2024,TRAVEL,9750.0,ATM withdrawal
2021-10-19,RENT,6484.0,Fixed deposit
18-02-2024,entertainment,2398.0,Medicine
25-08-2021,Food,498.0,Coffee
2022-09-05,Rent,35588.0,Grocery shopping
2021-11-02,Others,13131.0,Fixed deposit
06/08/2024,Health,6321.0,ATM withdrawal
08/30/2023,Rent,28207.0,Fixed deposit
24-06-2023,TRAVEL,,Train ticket
08-06-23,Rentt,10749.0,Uber ride
2023-05-21,Foodd,2232.0,Books
03/30/2022,SAVINGS,8161.0,Restaurant dinner
02-12-2022,Freelance,14180.0,Online course
11-08-2024,utilities,8479.0,Monthly rent payment
2023-11-05,food,5292.0,Gym membership
10/20/2022,TRAVEL,3942.0,!!!
2022-07-22,entertainment,,Doctor consultation
09/01/2023,entertainment,8943.0,Monthly rent payment
22-11-2022,utilities,3159.0,ATM withdrawal
04-06-23,rent,4331.0,Train ticket
2021-08-03,Investment,74243.0,Shopping
2023-10-17,FOOD,8640.0,Coffee
2021-06-25,food,9784.0,Uber ride
26-12-2021,Rentt,45093.0,Electricity bill
04/21/2021,FOOD,2130.0,Restaurant dinner
2023-02-21,Food,4816.0,Lunch
10/05/2023,food,2247.0,Uber ride
2021-03-13,Freelance,46587.0,asdfgh
,Entertainment,6699.0,Internet bill
,Travel,3345.0,xyz123
2022-06-13,Others,6610.0,Restaurant dinner
2024-12-20,travel,4692.0,Fixed deposit
02-03-21,Educaton,5305.0,Restaurant dinner
2021-03-29,Entertain,7845.0,asdfgh
18-05-22,Entertainment,7183.0,Shopping
2024-07-15,HEALTH,5749.0,Internet bill
26-10-2021,Entrtnmnt,5542.0,Petrol
14-09-22,travel,3429.0,Lunch
2021-06-23,Entertain,237.0,Petrol
18-08-22,SAVINGS,8231.0,Lunch
11-05-22,Utlities,9859.0,EMI payment
2022-01-26,Travel,5756.0,ATM withdrawal
16-03-23,Others,41720.0,Doctor consultation
10/07/2024,rent,7335.0,!!!
2024-10-04,RENT,287.0,Restaurant dinner
12/30/2021,Others,57828.0,Shopping
2021-10-28,Education,9601.0,Uber ride
12/08/2021,Entertainment,2186.0,Online course
14-06-21,Entrtnmnt,8093.0,asdfgh
05/03/2023,Travel,2272.0,Gym membership
02/05/2024,Foodd,4549.0,ATM withdrawal
2021-11-26,Rent,21603.0,Petrol
27-12-21,Educaton,7941.0,test
27-06-21,Travl,7135.0,ATM withdrawal
09/09/2023,savings,8634.0,Gym membership
2024-05-21,Entertain,1006.0,Medicine
16-04-2022,Saving,,Train ticket
2022-07-16,TRAVEL,6799.0,Restaurant dinner
2021-09-23,Health,,Movie tickets
2022-03-21,rent,1564.0,Doctor consultation
01/12/2021,Food,4005.0,Monthly rent payment
,Foods,651.0,Coffee
2023-04-28,Travel,4601.0,Medicine
2021-09-10,Rent,46896.0,Lunch
2022-03-21,Salary,78532.0,misc
01/16/2023,Bonus,178518.0,Shopping
2021-01-12,Fod,8687.0,Coffee
2022-12-07,Freelance,57170.0,Movie tickets
2021-08-07,FOOD,7235.0,test
04-07-22,TRAVEL,9675.0,Restaurant dinner
04/21/2022,Food,4895.0,Fixed deposit
2024-01-31,Bonus,21355.0,EMI payment
11-03-24,Others,13183.0,Books
2022-07-12,Traval,9364.0,EMI payment
2021-05-18,FOOD,5042.0,EMI payment
10/07/2023,Rnt,2824.0,Doctor consultation
2023-10-18,HEALTH,9979.0,Internet bill
2024-09-20,Health,8548.0,ATM withdrawal
03/03/2023,Food,700.0,Gym membership
2023-05-15,RENT,5988.0,Movie tickets
2024-08-23,Utlities,6348.0,!!!
2021-05-15,Rnt,5549.0,Fixed deposit
2022-07-15,Rent,44898.0,Coffee
16-07-2023,RENT,3221.0,ATM withdrawal
2021-05-06,food,1810.0,Internet bill
12/07/2024,RENT,9944.0,misc
12-08-21,travel,1037.0,Electricity bill
13-12-23,TRAVEL,2963.0,xyz123
06/15/2021,Utilities,999.0,Fixed deposit
08-11-22,Investment,43737.0,Internet bill
2021-01-30,Rent,45894.0,Petrol
2024-05-29,Travl,7040.0,Uber ride
08/22/2022,entertainment,5011.0,Uber ride
13-07-23,Travl,2082.0,Grocery shopping
2022-08-02,Utilities,6260.0,Electricity bill
09/02/2023,rent,747.0,!!!
31-03-21,travel,3645.0,Internet bill
2023-03-17,Helth,5958.0,misc
12/08/2022,Investment,49098.0,xyz123
19-06-22,Traval,3833.0,EMI payment
2024-06-02,Education,2715.0,asdfgh
2023-04-22,utilities,9245.0,Train ticket
2024-12-07,Rentt,12316.0,Medicine
20-03-24,entertainment,2561.0,misc
2024-04-11,Entertainment,6832.0,Fixed deposit
2021-04-23,Rnt,9714.0,Gym membership
2024-10-20,Bonus,73654.0,asdfgh
12/20/2023,rent,5622.0,ATM withdrawal
29-08-24,Helth,,Fixed deposit
31-07-2022,Traval,7748.0,xyz123
05/13/2022,Foodd,301.0,Grocery shopping
10/05/2024,FOOD,3830.0,Gym membership
18-10-21,Travel,2985.0,Gym membership
01/27/2021,Others,79870.0,Movie tickets
02/12/2023,Foodd,4426.0,Fixed deposit
07/26/2024,Entertainment,3640.0,EMI payment
,travel,1583.0,Train ticket
2023-10-09,Utility,9476.0,Movie tickets
08/01/2023,Travel,7174.0,Uber ride
,Utilities,7296.0,Petrol
24-03-23,health,1606.0,Fixed deposit
2022-08-03,Food,3280.0,xyz123
2022-10-06,Investment,,asdfgh
23-11-22,EDU,886.0,Train ticket
2022-11-20,Rentt,7109.0,asdfgh
12/08/2022,entertainment,4201.0,Electricity bill
23-02-2024,Fod,655.0,ATM withdrawal
10/16/2022,Investment,44066.0,Grocery shopping
2024-12-12,Others,224611.0,Movie tickets
01-02-2024,Bonus,174110.0,Gym membership
2024-09-21,food,2044.0,Online course
2021-07-25,Rent,,EMI payment
2021-05-19,Traval,1115.0,Internet bill
2021-10-09,Foodd,2017.0,Medicine
05/28/2021,education,2053.0,Gym membership
15-01-22,Entrtnmnt,9635.0,Gym membership
13-04-2022,Salary,56581.0,test
2023-07-17,Utility,392.0,Uber ride
,Savings,6027.0,Monthly rent payment
12/10/2024,Rent,26916.0,Petrol
09/27/2022,Foods,994.0,test
02/02/2022,Salary,63125.0,misc
11/11/2022,Foods,175.0,xyz123
2022-08-10,Freelance,24394.0,Monthly rent payment
14-10-2021,Investment,67910.0,Gym membership
20-07-24,EDU,9531.0,Gym membership
2022-11-05,Utilties,7838.0,Electricity bill
09/26/2021,Fod,2511.0,Online course
2023-09-11,Saving,7734.0,Internet bill
16-06-24,RENT,1461.0,Coffee
10/12/2024,EDU,2398.0,Grocery shopping
03/21/2024,Freelance,33170.0,Restaurant dinner
2023-09-24,TRAVEL,7858.0,Grocery shopping
2024-10-30,food,3913.0,Shopping
2022-12-09,Travel,5279.0,Lunch
02/08/2021,Savings,4694.0,Monthly rent payment
20-08-24,Food,2060.0,Fixed deposit
2024-12-01,food,7717.0,ATM withdrawal
02/12/2023,Others,42921.0,misc
23-12-2022,Foodd,3021.0,xyz123
2024-08-03,Fod,1574.0,ATM withdrawal
2024-01-10,TRAVEL,552.0,Medicine
03/02/2024,Utilties,1686.0,asdfgh
2021-05-22,Investment,30473.0,Shopping
,Rentt,46991.0,Lunch
11/25/2023,Travl,5535.0,Train ticket
06/02/2022,Rentt,33228.0,Electricity bill
29-03-21,Rent,999999.0,misc
11-12-23,Freelance,44802.0,Uber ride
01/03/2023,rent,9188.0,Medicine
08-09-21,Educaton,8716.0,Books
23-03-21,Education,9273.0,!!!
2023-06-28,Rent,39845.0,Restaurant dinner
25-02-21,Salary,18231.0,Train ticket
06/05/2022,FOOD,9636.0,Grocery shopping
03/30/2024,education,7121.0,Fixed deposit
09/23/2023,health,5447.0,Shopping
2024-10-26,OTHERS,2163.0,Uber ride
09/05/2022,food,6402.0,Monthly rent payment
2022-02-13,Rentt,19467.0,Gym membership
05/16/2024,Travl,7761.0,Coffee
03/02/2024,Utilties,8138.0,Fixed deposit
2022-11-17,Savings,3084.0,Train ticket
23-07-21,education,887.0,Fixed deposit
2023-12-21,FOOD,7874.0,EMI payment
01/23/2024,Utilties,7174.0,Medicine
2022-09-20,Traval,5391.0,test
07/12/2023,Utilties,4771.0,Medicine
09/28/2023,FOOD,5045.0,Gym membership
2021-01-11,Rent,29287.0,Internet bill
06/23/2022,Travel,9991.0,Grocery shopping
2023-11-09,Educaton,3891.0,misc
02/28/2024,Rentt,37865.0,test
2023-07-30,Rent,,EMI payment
05/29/2022,others,4955.0,Movie tickets
02/15/2022,Traval,3607.0,Medicine
16-05-24,Health,1150.0,Online course
04/28/2024,Foodd,1453.0,Train ticket
24-02-21,Salary,69923.0,!!!
08-10-22,food,9369.0,Grocery shopping
2022-05-31,Foodd,2186.0,Train ticket
06/11/2021,Investment,27454.0,EMI payment
01/30/2023,Investment,10347.0,Monthly rent payment
2023-08-28,Salary,,Shopping
08/31/2022,TRAVEL,388.0,Shopping
2023-10-30,Foods,,Coffee
09-05-2022,FOOD,3756.0,Grocery shopping
08/19/2024,Bonus,36129.0,Books
08-01-21,Travl,384.0,Coffee
07/14/2022,Entertainment,3700.0,Doctor consultation
26-04-2022,Foodd,3901.0,Monthly rent payment
12/23/2023,RENT,3507.0,xyz123
27-06-2024,Entrtnmnt,,asdfgh
06/09/2022,Salary,63348.0,Petrol
12/12/2024,Investment,45361.0,Electricity bill
08/20/2021,food,236.0,Online course
14-12-23,RENT,6168.0,Lunch
2021-03-26,rent,6798.0,Shopping
2021-04-06,Foodd,4051.0,Grocery shopping
30-09-24,Saving,7998.0,EMI payment
10-09-23,Foods,1255.0,Movie tickets
08/09/2021,Travl,,xyz123
,HEALTH,6113.0,Shopping
04-01-2021,Foods,2799.0,Shopping
2022-01-21,Foods,1099.0,Books
2022-11-13,Educaton,5642.0,Gym membership
12-08-23,Traval,9222.0,xyz123
2021-05-26,Entertainment,4241.0,Grocery shopping
17-12-2023,FOOD,1180.0,Medicine
,Foods,1889.0,EMI payment
2023-05-10,Rentt,6358.0,Uber ride
15-08-22,rent,5345.0,EMI payment
04/30/2021,Travl,702.0,Petrol
20-12-2023,entertainment,7292.0,Movie tickets
2022-10-11,Utility,941.0,Fixed deposit
2024-11-17,food,6574.0,Petrol
2024-11-26,TRAVEL,409.0,ATM withdrawal
2022-03-07,Others,,Gym membership
14-10-21,Travl,0.0,Restaurant dinner
2023-12-14,Foods,3903.0,Grocery shopping
05/24/2021,Traval,9694.0,misc
09/05/2022,Utilties,1980.0,Lunch
09-04-21,utilities,7818.0,Internet bill
2022-01-25,Rentt,20509.0,Train ticket
04/03/2022,SAVINGS,6682.0,Movie tickets
08/23/2021,TRAVEL,8859.0,Internet bill
11-06-2023,Freelance,35719.0,Fixed deposit
09/23/2023,Food,2318.0,Gym membership
2023-03-15,Utlities,8158.0,ATM withdrawal
08/16/2021,Foodd,1702.0,Medicine
2023-06-28,rent,6760.0,Uber ride
21-04-2023,Educaton,8201.0,Shopping
2021-03-04,Entertainment,3219.0,Monthly rent payment
,FOOD,4327.0,Fixed deposit
30-05-22,Travel,2954.0,misc
2021-08-28,HEALTH,1008.0,Medicine
2023-02-15,SAVINGS,8382.0,Internet bill
2023-09-23,Traval,1372.0,Train ticket
05/05/2022,Freelance,46281.0,EMI payment
2023-05-10,Helth,984.0,Online course
11-07-23,TRAVEL,1259.0,Monthly rent payment
,Fod,2072.0,Movie tickets
09/24/2024,Bonus,46784.0,Shopping
2024-01-23,Entertain,7393.0,Online course
13-09-23,Salary,56971.0,Coffee
09/09/2023,Educaton,9349.0,Coffee
2023-08-02,travel,1868.0,Grocery shopping
2024-01-06,RENT,2774.0,Internet bill
01/02/2024,Traval,2481.0,xyz123
2021-01-11,Utility,8855.0,asdfgh
11-10-2022,Education,3954.0,xyz123
05-11-21,Food,4941.0,Medicine
04/21/2024,Foods,2043.0,Gym membership
06/26/2024,RENT,6574.0,Coffee
28-07-2022,Foodd,2392.0,Gym membership
2024-12-23,health,6626.0,Monthly rent payment
2024-07-22,Foods,3054.0,test
2022-07-30,Freelance,37631.0,Fixed deposit
21-12-23,Rentt,38973.0,Fixed deposit
2023-04-11,Foodd,3980.0,Petrol
24-05-21,Educaton,8729.0,Train ticket
30-10-2022,Entrtnmnt,7773.0,Petrol
17-12-2023,Foods,2611.0,Gym membership
11/02/2022,Rent,34418.0,Books
24-08-21,Other,4883.0,Shopping
2021-03-17,Saving,8006.0,xyz123
06/10/2022,RENT,6829.0,misc
2021-06-03,utilities,4713.0,Doctor consultation
2024-12-20,Salary,14297.0,Electricity bill
2021-12-13,Foodd,2087.0,!!!
30-04-23,Others,11168.0,Shopping
2023-04-06,food,5997.0,!!!
2023-10-07,Entertainment,,Lunch
16-12-23,Entertainment,8195.0,misc
2023-04-19,Foods,4677.0,EMI payment
15-07-2022,Bonus,59853.0,Electricity bill
2023-04-15,Rent,48330.0,xyz123
11/28/2023,Rnt,,Online course
2023-06-06,Helth,8757.0,asdfgh
2022-07-01,Traval,5855.0,Doctor consultation
10-02-2024,Saving,3444.0,Monthly rent payment
,Entertain,7010.0,test
12/19/2022,Rent,14582.0,Internet bill
,Bonus,14412.0,Lunch
2023-04-15,Salary,18733.0,!!!
2023-11-21,Educaton,6062.0,!!!
2023-08-04,food,9155.0,EMI payment
13-09-23,Salary,56971.0,Coffee
2023-02-18,Entertainment,7288.0,Medicine
07/14/2024,Education,4942.0,Monthly rent payment
2022-03-03,Foodd,1443.0,Shopping
14-09-21,Salary,66905.0,test
10/11/2023,Foods,1731.0,asdfgh
24-07-2024,Entertainment,4462.0,Medicine
20-02-21,health,4343.0,Train ticket
2021-11-04,Food,842.0,Monthly rent payment
22-07-23,Food,1969.0,Gym membership
05-05-24,Food,2811.0,Online course
21-10-24,Rnt,1223.0,Gym membership
2023-01-25,Rentt,9301.0,Coffee
02/28/2023,Others,19382.0,Doctor consultation
2024-01-12,Food,2984.0,Restaurant dinner
2023-01-28,Fod,9399.0,ATM withdrawal
05/23/2021,Rentt,-1000.0,asdfgh
2022-05-07,Fod,845.0,Gym membership
07/10/2022,Utilities,8421.0,Uber ride
2023-04-13,travel,5205.0,Shopping
02/18/2022,Utilities,4206.0,xyz123
,FOOD,5937.0,Lunch
2024-01-21,Travel,744.0,xyz123
05-06-22,Foodd,,Monthly rent payment
24-12-23,Educaton,4103.0,Movie tickets
01/06/2021,Entertain,3389.0,Electricity bill
10/17/2023,SAVINGS,847.0,ATM withdrawal
11-11-2021,Rentt,49400.0,ATM withdrawal
07/18/2023,TRAVEL,5271.0,xyz123
2022-04-05,Travel,4005.0,Fixed deposit
10-08-24,Educaton,9352.0,Doctor consultation
07/19/2023,Salary,12429.0,Online course
2021-02-08,Rentt,,Doctor consultation
05/24/2021,entertainment,2583.0,Doctor consultation
2021-11-21,Entertainment,6829.0,Coffee
11-06-21,travel,9647.0,Gym membership
06/30/2021,Fod,-1000.0,Restaurant dinner
04/24/2022,Travl,7482.0,Internet bill
06/30/2022,Utlities,9698.0,Doctor consultation
02/12/2022,Savings,8773.0,EMI payment
2023-06-20,Utility,4119.0,Online course
27-09-22,Others,50800.0,Monthly rent payment
16-09-23,Rnt,1790.0,Shopping
19-09-2022,food,788.0,Online course
04/15/2024,rent,5717.0,Movie tickets
07/02/2021,Bonus,222939.0,Gym membership
2021-04-22,Travl,3869.0,Coffee
2024-02-12,Salary,76239.0,Internet bill
2021-02-08,FOOD,5375.0,Movie tickets
01-12-21,Traval,4953.0,ATM withdrawal
27-03-21,Fod,619.0,Lunch
2023-06-23,Travl,845.0,Restaurant dinner
2024-01-12,Salary,37665.0,Lunch
30-10-2022,HEALTH,740.0,Shopping
27-03-2024,Foods,2158.0,test
2024-07-08,Foodd,3765.0,Internet bill
2022-12-27,Rnt,4039.0,EMI payment
10-07-23,Utilities,4218.0,xyz123
2022-08-28,rent,1009.0,asdfgh
2022-04-16,Foodd,2220.0,Train ticket
07/02/2023,Food,1969.0,Movie tickets
2022-07-29,Freelance,50581.0,Internet bill
2022-11-19,Salary,65464.0,Uber ride
10-03-22,Food,3207.0,Grocery shopping
2022-05-01,education,8479.0,Uber ride
13-04-24,Food,861.0,Shopping
08/01/2024,Others,34452.0,Internet bill
2023-07-24,Rnt,9804.0,Medicine
2024-01-08,FOOD,6666.0,misc
05/29/2023,utilities,8355.0,asdfgh
02/24/2021,Travel,9644.0,Gym membership
04/02/2022,rent,1690.0,Online course
2023-05-20,Utility,9727.0,Restaurant dinner
15-03-23,Food,4753.0,Monthly rent payment
03-07-2021,Foods,2628.0,Grocery shopping
2023-01-15,education,6020.0,Online course
2023-12-14,Utility,3123.0,Monthly rent payment
,Bonus,16944.0,test
11-12-22,Rentt,25106.0,misc
2023-08-10,Entertainment,1317.0,Medicine
2023-02-16,Foodd,4235.0,test
2024-03-01,education,2966.0,Lunch
03-07-2022,Education,2265.0,Petrol
03/07/2021,Utlities,1346.0,Petrol
2022-01-20,Rent,-500.0,Gym membership
05/16/2023,TRAVEL,702.0,Petrol
2024-03-02,Entertain,1505.0,Uber ride
06/27/2024,RENT,4697.0,Movie tickets
08/16/2023,Rentt,10239.0,test
09-07-21,Entertainment,999999.0,xyz123
2021-09-22,entertainment,7245.0,ATM withdrawal
2024-12-10,Travl,4258.0,Books
21-04-2023,Entrtnmnt,4253.0,Books
2022-01-06,FOOD,6666.0,test
2021-11-11,Travel,4882.0,asdfgh
12-03-23,Foods,4597.0,Restaurant dinner
12-11-23,Freelance,65471.0,Books
2024-04-20,Bonus,28581.0,Online course
2021-10-28,RENT,,ATM withdrawal
2024-12-02,Utilties,7287.0,EMI payment
05/13/2023,FOOD,6868.0,Medicine
11/04/2021,Fod,-1000.0,Medicine
2022-02-22,Travl,7173.0,Shopping
2021-02-23,RENT,2693.0,Shopping
28-09-22,Health,7900.0,Petrol
2021-12-20,Others,749253.0,Electricity bill
08/19/2021,Educaton,5531.0,asdfgh
30-11-22,TRAVEL,5094.0,Grocery shopping
25-01-24,Rentt,36568.0,misc
13-11-24,Travl,5316.0,Restaurant dinner
02-05-21,Food,3429.0,Uber ride
07-06-21,Rentt,41358.0,EMI payment
14-02-24,Entertain,6805.0,Grocery shopping
28-03-21,Rnt,2358.0,!!!
2021-12-01,entertainment,196.0,Coffee
09-11-2021,Entrtnmnt,6159.0,asdfgh
2024-09-17,Health,6954.0,Restaurant dinner
03/21/2022,Bonus,56318.0,Lunch
29-04-24,Education,8050.0,Monthly rent payment
22-11-2022,utilities,3159.0,ATM withdrawal
09-03-2021,Foodd,2524.0,Electricity bill
10/18/2022,travel,6244.0,Lunch
20-05-2023,Misc,3685.0,Petrol
11/09/2024,travel,577.0,Coffee
2021-04-04,Utilties,8458.0,Doctor consultation
2023-05-28,travel,4457.0,test
2023-04-22,Rent,8682.0,Electricity bill
18-09-24,Foodd,1015.0,Online course
2024-12-12,FOOD,859.0,!!!
2024-07-15,Freelance,25294.0,Coffee
02/12/2023,Rnt,6743.0,Doctor consultation
09/03/2023,Foodd,4741.0,Fixed deposit
2023-10-14,FOOD,6098.0,Online course
2021-09-06,Entrtnmnt,7894.0,xyz123
31-05-21,others,4833.0,Electricity bill
03/12/2022,Savings,7676.0,Gym membership
2021-03-18,HEALTH,7316.0,Gym membership
07/27/2024,FOOD,4959.0,Gym membership
03-02-22,Utilities,4716.0,Monthly rent payment
13-03-21,Travl,-500.0,misc
08-05-22,health,7861.0,Electricity bill
2024-11-01,Education,9950.0,EMI payment
07/28/2024,Helth,6813.0,Monthly rent payment
02/05/2024,TRAVEL,8656.0,Fixed deposit
09/12/2023,Entrtnmnt,2491.0,Doctor consultation
2024-09-10,TRAVEL,9698.0,Grocery shopping
2024-01-01,Rentt,12083.0,Restaurant dinner
2023-10-17,travel,4367.0,Internet bill
2024-07-24,Rent,23072.0,!!!
12/06/2024,food,1213.0,Gym membership
29-09-22,Travel,2790.0,test
2021-09-09,Rentt,14145.0,Train ticket
2023-05-15,Traval,4022.0,Shopping
02/20/2023,Bonus,11930.0,Train ticket
08/17/2023,Utilties,1718.0,Online course
11-09-2024,Freelance,73576.0,Gym membership
14-04-24,Rnt,9445.0,test
2023-01-31,Bonus,35129.0,Fixed deposit
2024-05-27,Entertain,9544.0,Lunch
2024-11-14,food,6601.0,Online course
12-02-2024,Foodd,4585.0,Gym membership
,rent,6200.0,Internet bill
03/03/2022,Education,2838.0,Internet bill
